Date,0097.KL,0128.KL,0138.KL,0166.KL,0272.KL,1015.KL,1023.KL,1066.KL,1082.KL,1155.KL,1295.KL,1562.KL,1619.KL,1818.KL,1961.KL,2445.KL,2488.KL,3026.KL,3182.KL,3336.KL,3689.KL,3816.KL,4065.KL,4197.KL,4677.KL,4707.KL,4715.KL,4863.KL,5008.KL,5020.KL,5099.KL,5168.KL,5176.KL,5185.KL,5210.KL,5211.KL,5216.KL,5225.KL,5236.KL,5246.KL,5250.KL,5258.KL,5273.KL,5285.KL,5288.KL,5289.KL,5292.KL,5296.KL,5297.KL,5302.KL,5306.KL,5309.KL,5310.KL,5318.KL,5347.KL,5398.KL,5681.KL,5819.KL,5878.KL,6012.KL,6033.KL,6742.KL,6888.KL,6947.KL,7047.KL,7081.KL,7084.KL,7106.KL,7113.KL,7132.KL,7148.KL,7153.KL,7191.KL,7203.KL,7214.KL,7223.KL,7233.KL,7277.KL
2023-05-23,-0.0012681798937258122,-0.0069687378002741005,-0.01929292696338054,-0.027524784869099792,0.00947873538604097,-0.01699744389927947,-0.00795247302909122,0.0018165137983131264,-0.016997489658587533,0.003490359227080312,-0.010178236887530565,0.0,-0.014925507425825674,-0.011067297453851509,-0.010050196497024317,-0.008810536065374665,-0.008968557123720527,0.0030487482642611702,0.004524970624105048,-0.006349235726855063,-0.0022564878375716715,-0.006798128111840679,0.0,-0.004683870561962888,0.0,-0.002224784030229477,-0.0037523476916650205,-0.0020020076908004694,0.0,0.0,-0.01916997403301815,0.023256709457042186,0.0,0.0,0.007490672431442219,0.0,-0.023530430233079446,-0.010118174757008914,-0.007017962588043946,0.037337715948982456,0.0,-0.021053460476068007,0.011481226121868266,-0.008889007817880133,-0.011049815023659877,0.013072084869310064,-0.06923180843161715,0.006269661230225978,0.0,-0.008732784784704323,-0.012739159656055045,-0.014084700234530144,0.008583886775385916,0.007843117271685681,-0.004175360659032524,0.007255262410843429,-0.002682133637435287,-0.009049847181212559,-0.008733475538158274,-0.004796178224858682,0.0023530030155586245,0.0,-0.0033500333152906847,-0.004545602483646928,0.0,0.08223810271852436,-0.001771365136113848,0.0,-0.00823044541253434,0.006006018469991941,0.02061934012989346,0.020067437214994984,-0.008437429535525117,-0.006734064359343883,0.009389859611419983,0.0,-0.05348867538840177,0.004706077122217335
2023-05-24,-0.003814402233647657,-0.0105449310546799,-0.006515563192782045,0.045462556572018704,-0.04831853273156115,0.002852832597813122,-0.006006076184441009,-0.009115747140186153,0.01249305594560974,-0.005823962917166792,0.0025542878592110306,-0.031009706043876477,0.0,-0.009584705091707566,0.005037788794190774,-0.0026583600328558285,-0.003007482991029004,-0.009942684648853466,-0.009070391829736532,-0.012820790705199318,-0.012883843274381681,-0.004100974786724787,-0.0012430510443918422,-0.009434075336685289,0.006389931810663065,-0.001485802973675534,-0.011342270735359674,0.019841863123497044,-0.015113587021286881,0.0,0.01916997403301824,-0.02325670945704206,0.0,0.004987547735571612,-0.053652718640563764,-0.012820784865915289,0.01183446223939683,-0.008510756347275135,0.013986726639376607,0.0,0.009852267109662968,0.0,-0.009174367245604869,-0.015748226215813184,-0.01117327895962926,-0.01307208486931002,-0.02909293319254099,0.0,0.05556984649387388,-0.017700393787399835,0.012739159656054988,-0.021506143595413845,0.016949612180683544,-0.007843117271685704,-0.004192754757841565,-0.004830967469116974,0.0,-0.016293514564189635,-0.008810646444381917,0.004796178224858614,-0.004711428385230155,-0.00851064596701665,0.0033500333152907892,0.006810467490486611,0.0,-0.02666822164632427,0.0,-0.019999865133055947,-0.016667043305484082,-0.02424358883756287,-0.027588057599875628,-0.040546013827869425,-0.017095617063861663,0.0,-0.009389859611419934,0.0,-0.005509711601519002,0.013986205776063493
2023-05-25,-0.006389848877925778,0.0,0.0,0.004434357811749865,0.0,-0.002852832597813178,-0.004024107711988154,0.0,0.0011281607233561562,0.0,-0.007682520458587065,0.007842478127790271,0.0,-0.004827198422812632,-0.017744459715841945,-0.034299341975866524,0.0,-0.0007690036778861466,-0.013761619051876449,-0.012987213486174546,-0.009195543723959221,-0.009635592165692212,-0.004987516289981745,-0.019139428916100227,-0.006389931810662934,0.0,-0.0038096308972214933,-0.017839855432696616,-0.00815498985131174,0.01626051728066388,-0.01273908961882177,-0.0859425788371029,-0.006389816146495209,0.0,0.031010239751784546,0.0,0.011695967993682638,0.0,0.0,0.00782272494389129,0.0,-0.026955699446105517,0.011454813402962482,-0.02992157526320065,0.04396310868522292,0.013072084869310064,0.025502268443113072,0.012422614646010239,-0.05556984649387397,-0.013483444043646665,-0.025642543125474128,-0.007272826597845249,0.0,0.007843117271685681,0.006282558312947897,-0.012180363835335209,-0.015336425614850104,0.00307535199128652,-0.008889191297116182,0.009523893264469185,-0.011876674516523038,-0.017241716752681605,-0.010084048893804487,0.009009167629525595,0.0,0.0,-0.0017746399085773116,-0.030771635154061592,-0.051735751248946305,0.0,0.0,-0.013889173191796417,-0.017390893984593744,-0.006779719601175462,0.018692177622566128,0.0,0.02724963901159378,-0.028171043856714706
2023-05-26,-0.006430879564957088,0.08140082340865834,0.019418071369562202,0.08885324777623631,0.038839797345520136,-0.002861398075893871,-0.012170405771124534,0.0,-0.005652856578282968,0.0023336036900863974,0.002567473982465288,-0.007842478127790216,0.014925507425825617,-0.0016140545465317664,0.0,-0.006448891781526225,0.008995532034515428,-0.006947073869453897,-0.011614486065554085,-0.006557322140099969,0.0007695266578062137,-0.0027699803436410154,-0.005012582516633433,-0.004842508898500915,0.06813781446059851,0.0,-0.015384912360929613,0.01587328140605069,-0.00307543784480763,0.0,0.01904825264330729,0.01273894357833276,0.0,-0.004987547735571666,-0.02316715930297925,0.012820784865915381,-0.011695967993682674,0.0,-0.00696876405133262,-0.018349160835517585,0.0,0.005449519306888045,-0.016073754681327553,-0.014118100168618239,0.010695268555803506,-0.01307208486931002,0.03533941647318748,-0.012422614646010278,0.028170874571492647,0.0,0.01290338346941892,0.007272826597845166,0.0,0.007781969644833206,0.01141688833756962,0.0,0.0063434331365634184,0.0020449201502238915,0.00888919129711627,0.011778585802997139,0.002386569018036394,0.07534947054931893,-0.01703619124569274,0.0,0.018349195197795293,-0.027398947339176118,-0.014311448895506743,-0.010472206467604191,0.03478609972562739,0.024243588837562967,0.0,0.01388917319179633,0.008734310114338775,0.0,0.009216645138650321,0.0,-0.005390834068400025,-0.014388641671737815
2023-05-29,0.01663513067653054,0.028894515297808725,0.0,0.0,0.01886857873808785,0.005714230673706894,-0.0020429978778879893,-0.0036696939378096497,0.0022650263877652113,0.0023282371017689226,-0.002567473982465208,0.007842478127790271,0.029631767194448724,0.0,0.010178194563705492,0.010115141556906786,-0.005988049043486314,-0.011686793251232848,-0.007034083558231244,0.03236532633147401,-0.0030816660513960413,0.001386063735473154,-0.001257048301878899,-0.00486628139604104,0.07496299650650473,-0.014227101699687798,-0.011695927436576534,0.023347423369158463,-0.004115161249763137,0.0,-0.0063091630244854185,-0.004228238573749917,0.006389816146495278,-0.00501226868441726,0.007782238982215048,-0.006389926026889488,0.023256720275118773,-0.001710843231951391,0.006968764051332666,0.005277104283608664,0.0,0.005420139261879474,0.0,0.007084026994182259,-0.021506163652098245,0.0,0.03748305670785763,0.006230597368299926,0.027398971922381228,0.009009577179875144,0.0,0.014388609559071347,0.0,0.007721988607366386,0.006172788269377202,0.012180363835335235,0.00899299247828678,-0.004094140095548573,-0.008889191297116182,-0.0023446060728449986,0.0011911520098752265,0.04725283866317749,-0.049305734067965144,0.022173772511193582,0.0,-0.0139863119332428,0.0017998643635226876,0.0,-0.008583791501463444,0.017804678380562166,-0.021202172272235545,-0.006920428764089986,-0.017545519556693073,-0.020619298173503938,-0.02790882276121636,0.0,0.058998404805427576,0.01913919317690262
2023-05-30,-0.003814402233647657,-0.0031694503342656424,0.012739367671076193,-0.0040566870075672175,0.0,0.016949666883186047,0.0,-0.003683210207202862,0.004514719601366274,-0.0011633411863479835,-0.012936832351622516,0.007782011131535212,-0.014706084679840891,0.004834803492375845,-0.010178194563705462,-0.010115141556906779,0.01194029033971951,-0.0007841550319712013,-0.014218179981139476,0.0063492357268549755,-0.0054157937094156325,0.006901192003639331,0.0,-0.009803975794598083,0.011049927205813383,-0.019802780488905256,-0.01183445125805557,-0.009662041056556795,0.007190599094570795,0.016000337869328505,0.006309163024485387,-0.02575254291261272,-0.006389816146495209,0.0,0.0,0.0,0.0,-0.010327160608336562,0.0,0.005249331608017762,0.0,0.010752623743136108,-0.004640374935987326,0.0023501310462853277,0.010810895096294565,0.0,0.013289219486816427,0.012345848387155084,0.02666824493567732,0.0,-0.006430800866736759,-0.007168382422999983,0.0083681643251293,0.015267795794808246,-0.013422902896742913,0.030991857544725266,-0.02355180200616275,0.002049219945324741,0.0,0.002344606072844897,-0.0047732738381633414,0.015267490084499078,-0.007246587602749265,0.0021905614133624404,-0.018349195197795275,0.013986311933242724,0.0,-0.021276546912185067,-0.044059917002119975,0.0,0.0,-0.013986393255881779,0.0,0.04845235251212888,0.009389859611419983,-0.08701136005649178,-0.015748409984486032,0.018780163871150106
2023-05-31,-0.006389848877925778,-0.012779930682782985,0.06136923779488338,0.02409749669448075,0.0,0.019418117719861887,-0.014418280889269563,-0.012999347265235654,-0.025087115691130125,0.0069604273780362845,-0.007843130772382221,0.007722140724479419,-0.02247285585205863,-0.003220748945844121,-0.057910994766218395,-0.03575174581648594,0.02346159838561063,-0.004716936177942215,0.0023837078379668392,0.037271278713444655,-0.018794597258025226,0.0041183167702206445,0.02238904500943728,0.019512766089140033,0.06385145321968218,0.030305414796589134,-0.003976255260878464,-0.009756094083323848,-0.007190599094570809,0.01574835359968631,-0.01904825264330718,0.0,0.04389422776325204,-0.005037939388030373,-0.03149867016414386,0.0063899260268894965,0.02272833661957667,-0.0017315807795647944,0.0206194927088,-0.010526435891626284,-0.0049140609684682314,-0.010752623743136227,-0.035506709833750066,-0.009434158040467669,0.0,0.0,-0.013289219486816477,-0.037504434113393416,0.0,0.0,-0.14558531873361652,0.0,-0.00836816432512941,-0.007604869819987162,-0.011500442399543367,0.04138503091229545,-0.032606618128942555,-0.009254575606097711,0.05218575509275963,-0.03819071821459713,0.0011955528102517935,0.029852903083956557,0.010850137347584948,-0.02212477160345678,0.0,-0.0139863119332428,-0.001799864363522687,0.036942742877817826,0.02666818155961865,0.0,-0.02166164784939959,0.041385398632846127,-0.008889537530651224,-0.08455737296505826,-0.009389859611419934,0.08701136005649175,0.026111166637711687,0.004640328480399829
2023-06-01,0.007662994932248524,0.025398286029520652,0.0,-0.01600030505179928,-0.03809992302983391,0.0,0.008264362052192178,-0.0037452871423481232,0.008050779508458278,-0.005797086191688191,0.005235558971655633,0.07410874105748745,0.0,0.0,0.005405482988937185,0.0066827403892894734,-0.020498424420775496,-0.011890850601787175,-0.011976143541196183,0.0,0.0039446967415597235,-0.020762158229619257,-0.02238904500943733,-0.014598728585360552,-0.07490138042549552,0.002980344263644637,0.0,0.0,-0.0030975943407218977,0.0,-0.03257614007055464,0.012959061437500854,-0.03115507587284245,-0.025576654807211253,0.0,0.012658333864706649,0.0,0.011564934453082468,0.006778931291861494,0.0,-0.014888568746216206,-0.021858925958280442,0.009592390367769765,0.0,-0.010810895096294671,-0.013245144259793099,-0.0033500836743294692,-0.008991745771593307,0.0,0.0,-0.007490750591663845,0.007168382423000025,0.02489740955878357,-0.007662925974821082,-0.005271394901415797,-0.04138503091229554,-0.0009472329071708236,-0.004140760623318375,-0.0170944704774399,0.03144139909442172,-0.010811066664209763,-0.029852903083956505,0.007168278340711847,-0.02033955754234491,-0.01869212956140001,0.013986311933242724,-0.018182489153287528,-0.020942334149995818,-0.0088105727816626,0.0,0.0,-0.013605711212712954,-0.008967203357500458,0.07095176651097838,0.018692177622566128,-0.2876820103636099,-0.010362756653225658,-0.03294427086547853
2023-06-02,0.001271343460375614,-0.025398286029520607,0.011834692620918364,0.023905568319773318,0.028710079677787145,-0.0055097425973851515,-0.01034130384948049,-0.0037593670680115495,0.0068492220194743434,-0.002328237101768901,-0.01314069104903781,0.014183881718591172,0.0,0.006430984755445019,0.010724021378965165,0.009469667700033125,0.0,0.0007972816214695276,0.009592435703229383,0.006079054437901753,-0.0023648371805871553,0.008356585720286075,-0.01011388181050952,0.014598728585360508,0.02197901752479121,-0.019534471262696588,0.011881322735028385,-0.003929288229277692,-0.0010346433891002555,-0.03174869146901472,0.04531522968937645,0.004282776470529007,-0.006349335743914309,-0.020943267215198277,0.015873350733123532,-0.03195160133599832,0.011173232644448118,-0.0069930376193191425,0.0,0.01052643589162629,0.0,-0.00554009382588456,0.0,0.0,0.0,0.0,0.006688981750297954,0.025479158873966214,0.025975406983346855,0.013363226238763983,0.007490750591663785,-0.007168382422999983,-0.008230526353685824,0.0,-0.004237283162091982,0.0,0.0141177148506733,-0.016736886772403238,0.017094470477439828,-0.02409740411740758,0.007220370260346478,-0.015267490084499171,0.0,0.022574115429708295,0.0,0.013793308523969955,-0.031689394308385826,-0.005305549907975213,0.017544301328756423,0.0,0.007272997048658675,-0.020762038591957827,0.026667950330505813,0.0,-0.01869217762256601,0.0,-0.010471401205664897,0.0142519879671976
2023-06-06,0.0025380926126750162,0.019108972401541455,0.005864635721384175,-0.01587320870867188,0.0,-0.01111124455118605,0.014448160863904705,0.0,-0.0300252516909891,0.0,0.007905132077382184,-0.014183881718591276,0.015037813250733853,-0.009661878120329818,0.01587326468713336,0.00657611376030838,-0.008915415261068581,0.003182066198998002,-0.007185842107578909,-0.018348999746749157,-0.003954217044405258,-0.001388064097052547,-0.001271365819191137,-0.039413870336942776,-0.02197901752479123,-0.002278799892100822,-0.007905067474149844,-0.015873281406050713,-0.016701924573832995,0.0,-0.01273908961882177,-0.017241837908029693,0.018928062675110272,-0.026811587638204695,-0.2694761384352375,0.006472482605376456,0.0110499138569268,0.031090554124064296,-0.027398424000661635,-0.0026211857961255156,0.0,-0.022472828464820162,0.0,0.03949406247158687,0.021506163652098297,0.0,-0.010050326220427584,-0.01904837613494362,0.02531788343320815,0.013186916181684525,-0.022642623654412206,0.021353063719227853,-0.008298718879968305,-0.0077219886073663715,-0.012820769230356093,-0.004706050709472507,0.005163219066455771,-0.008474675404737293,-0.0170944704774399,0.002436105455614228,0.00483095858566647,-0.007722105034970707,0.02120235056790313,-0.01801846220379067,0.01869212956140014,0.0,0.0037806183630842436,-0.016086133039889546,-0.03540191010671245,-0.011834516917728074,-0.01459889959953392,0.0,-0.008811209442354232,-0.0068728124536582445,0.0,0.0,0.010471401205664973,-0.014251987967197597
