,Inverse Volatility Weight
1155.KL,0.10694931249229399
1066.KL,0.09336847447666698
5819.KL,0.08857235311230516
6033.KL,0.08637301576154477
5225.KL,0.0855262230967215
1082.KL,0.08363096917434364
1818.KL,0.08053070558579875
1295.KL,0.07946553930172474
5347.KL,0.07734541271114229
3816.KL,0.07669432380822008
5297.KL,0.02209410158231349
5292.KL,0.027717139192556473
4677.KL,0.028301727678127542
6742.KL,0.03084970621887058
5288.KL,0.03258099580736999
