,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio,Meets High-Vol Rule,Selection Method
5297.KL,0.00016434325473100006,0.03745218389154787,0.04141450019221202,0.5945349877997695,0.004388082019646622,True,Assignment high-volatility rule with positive-return stabiliser
5292.KL,0.0008292172811514074,0.029854176133789594,0.20896275485015467,0.4739203538803622,0.027775587490183044,True,Assignment high-volatility rule with positive-return stabiliser
4677.KL,0.0014701926469646786,0.029237520931234176,0.370488547035099,0.4641312560165474,0.05028444957500091,True,Assignment high-volatility rule with positive-return stabiliser
6742.KL,0.0017985542222005873,0.026822698067483823,0.453235663994548,0.4257971314700099,0.06705344174085563,True,Assignment high-volatility rule with positive-return stabiliser
5288.KL,0.0017056861994237643,0.025397393016212383,0.4298329222547886,0.40317111522159954,0.067159893077803,True,Assignment high-volatility rule with positive-return stabiliser
