Ticker,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio,BetaversusFMBKLCI,SharpeRatio
1155.KL,0.0005411939922679,0.0088011673794813,0.1363808860515198,0.1397142007989698,0.0614911600851555,0.8650924124321128,0.04796481591799478
1066.KL,0.001143773341435,0.0102048156595432,0.2882308820416375,0.1619964264624544,0.1120817249026388,0.8285800611037019,0.10041589741301125
5819.KL,0.0005086823654222,0.0104546854257218,0.1281879560864029,0.165962986031228,0.0486559226517438,0.8235195269673015,0.03726891154620085
5225.KL,0.0007649656269235,0.0106772855642764,0.1927713379847465,0.1694966536817721,0.0716442041676758,0.562544661437532,0.06049458956468914
1082.KL,0.0004643366111372,0.0107041666618783,0.1170128260065843,0.1699233778771113,0.0433790528309803,0.7405573691869412,0.032257437967524304
6033.KL,0.0002275663760182,0.0107832688580123,0.0573467267565972,0.1711790863118884,0.0211036540973523,0.561978301028502,0.010063623415078646
1961.KL,0.0002669464150162,0.0108052166992279,0.0672704965840992,0.1715274974899157,0.0247053272920793,0.5086252499869702,0.013687721411376159
1818.KL,0.0005435005391111,0.0115166165077634,0.1369621358560107,0.1828206193466592,0.0471927270257524,0.7327696019431293,0.03685569626959059
1295.KL,0.0005099358324961,0.0116193704790564,0.1285038297890279,0.1844517880722534,0.0438867005243773,1.079614319846739,0.03364108358133914
5347.KL,0.0006322163835156,0.0117026489833889,0.1593185286459492,0.1857737933443805,0.0540233569692686,0.9383945323752405,0.043850649985006686
5168.KL,-0.0011443092420341,0.0362327173484123,-0.2883659289926131,0.5751765565679681,-0.0315822087267302,1.1638804178673487,-0.03486784744664145
5216.KL,-4.464432545548232e-05,0.0356854995489661,-0.0112503700147815,0.5664897433060317,-0.0012510494744293,0.9919628396516852,-0.004587071683793872
7113.KL,0.0001080027878265,0.0329513250125721,0.0272167025323031,0.5230860681199687,0.0032776462793345,0.9492121202958829,-0.00033518625478353456
5183.KL,0.0001187759877318,0.0319337049255194,0.029931548908433,0.5069318500430575,0.0037194552905434,1.2275786732128724,-8.506100887842176e-06
0166.KL,-0.0002544780891448,0.0313166466495857,-0.064128478464512,0.4971363535877275,-0.0081259686578944,1.9803581052628858,-0.011927385213747352
