,Optimised Weight
1155.KL,0.1382191067114416
1066.KL,0.24999999999999992
5819.KL,9.644152615094793e-17
6033.KL,1.4246990410052422e-16
5225.KL,0.23572822136552343
1082.KL,6.466334505793047e-17
1818.KL,0.13342322596529002
1295.KL,1.1829470812142196e-16
5347.KL,0.1863257401012363
3816.KL,0.05630370585650847
