,Date,1155.KL,1066.KL,5819.KL,5225.KL,1082.KL,6033.KL,1961.KL,1818.KL,1295.KL,5347.KL,5168.KL,5216.KL,7113.KL,5183.KL,0166.KL,fbmklci
0,2024-05-16,0.0040403513719647,0.0018230639652393,-0.0010303850520365,-0.0032155686903469,0.003442353902911,0.0011042522480279,0.002460043669778,0.0183940304218393,0.0095923189964012,0.0207508486514098,-0.0455232751091579,0.0105821642284279,-0.0487901403276379,0.013129357241769,0.0031898934439688,0.0049030412170164
1,2024-05-17,0.0,0.0018199438863745,0.006166444825421,0.0096155391086695,0.0034306616928935,0.0044054236520291,-0.0098765703785933,-0.0036517624675637,0.0,-0.0047505559826396,0.0,0.1000833590193938,0.0,0.0143886663254582,0.0095086825564826,0.0034141735221276
2,2024-05-20,0.0070317852234282,0.0054396497481487,0.0,0.0063592711331531,-0.0022858386544636,0.0054793726261784,0.0,0.0060789670770406,0.0,0.0141846568200102,0.0,0.0281709656173618,-0.0083681949746385,0.0127752555929879,0.0125394202976711,0.0067075482357006
3,2024-05-21,0.0,-0.0072595936345233,-0.0051360597733842,-0.0063592711331531,-0.0045871769413409,0.0,-0.0276746668469616,0.0060424239498431,0.0,0.0,-0.0165750048383778,-0.0093023829963535,0.0,-0.0084986064521531,0.0123839740232187,-0.0033296749650827
4,2024-05-23,0.0,0.0054497283899706,0.0092261042422306,-0.0031947868709977,0.0011487684486196,0.0010923034698574,0.0151900831824743,0.0214547922810555,0.0023837870332253,0.0247308011476427,-0.0311197498362764,-0.0093898475872865,0.016667043305484,-0.0157710149990598,-0.006172739067972,0.0043614335856825
5,2024-05-24,-0.0010014878274469,-0.0036297845035962,-0.0102564892942672,0.0031947868709978,0.0022935854542913,0.0010911116447034,0.0,0.0082210186376627,-0.0071684135548388,0.0,-0.0291566026700165,-0.019048176957496,-0.0684027945544303,0.0014439789947049,0.0629892379111974,-0.0060211283753176
6,2024-05-27,0.0010014878274468,0.0018165391678368,0.0,0.0031847684949306,0.0011448230384299,-0.0010911116447035,-0.0075662314138338,-0.0023420002015963,-0.0096386105630672,0.0091185919912683,-0.0239533458562413,0.0,-0.0269073852498944,-0.0086957515177906,-0.0087590829387295,-0.0006980358797271
7,2024-05-28,0.0,-0.0018165391678367,-0.0041322970702243,-0.0144118591954098,0.0034267431573769,-0.0010923034698574,-0.0050761256188616,-0.0035232252726658,-0.0024242389873859,0.0030211721443062,-0.0030348611575692,-0.0096619618908381,-0.0091325336727962,-0.0102414005839017,-0.0029368761278291,-0.0015151549504185
8,2024-05-29,-0.0090499203558974,-0.0036430078516138,-0.0010357211206189,-0.0016141528830217,-0.0045715661958067,-0.0010934979015284,-0.0153849650307791,0.0058652254742621,-0.0097561562222107,-0.004535187930155,-0.0246165839051306,-0.0097560444079742,-0.0185190384946339,-0.0103474470929359,0.0029368761278291,-0.0065007483793436
9,2024-05-30,0.0,0.0,-0.0020746659618077,0.0,0.0022883369556398,-0.0043858747246499,0.0,-0.005865225474262,0.0,-0.0015162335273431,-0.0031201600997482,0.0097560444079743,-0.0093897922628128,-0.0029762076675352,-0.014771400572348,-0.0006791889775934
10,2024-05-31,0.0030257853367328,0.0018230639652393,0.0,0.0,-0.027811716646496,0.0032911797763734,-0.0130041789550617,-0.0011771723042841,0.0048899758869486,-0.0106790495975637,-0.0189279761471365,-0.0600178898513132,-0.0094787968563389,0.0,-0.0332860153321478,-0.0047360900691139
11,2024-06-04,0.0130066062704848,0.0036364830542112,0.0113578694749812,0.0,0.0174727096478291,-0.0021929915401317,0.0078227826949678,0.0047003975769499,0.0121213374109276,-0.0046118787404867,0.012658374238208,0.0404094977994488,-0.0095693893942796,0.0029762076675352,0.0152675587290869,0.0116561120497096
12,2024-06-05,-0.0079839590787673,-0.0036364830542112,-0.0072127259951749,-0.0016168418677728,-0.0092808355474615,-0.0010981882362415,0.0,-0.0047003975769499,-0.0048309180882793,0.0213423497955487,0.0062696019089286,0.0292703539427023,0.0,0.0014847148610507,0.0327898571754089,-0.0042618824859146
13,2024-06-06,0.0,0.0018199438863745,0.0041279257248815,0.0096619124363945,0.0,0.00438587472465,0.0077620614675889,0.0186702842342662,0.0,0.0326437795072021,-0.0031298489701536,0.0560895274046467,0.0190481862506187,0.0,-0.0029368761278291,0.003847011286359
14,2024-06-07,0.0020019736804068,0.0054396497481487,-0.0010303850520365,0.0,-0.0035025207831262,0.0,0.0051413718773923,-0.0011566270457,-0.0048544330076687,0.0043700314014271,0.0666914018239813,0.0269074259609933,0.0550598601794606,-0.0149478132500714,0.0202026792625632,0.0019365313226076
15,2024-06-10,-0.0010004858529599,0.0,0.0,0.0016013861438816,0.0069930546960761,0.0054555712135269,-0.0103093793602876,-0.0046402946432686,0.0,-0.0029112313301613,-0.0088366018351383,-0.0088889385914054,-0.0180184957492176,0.0104868907214852,0.005780341439181,-0.0021594945976846
