,Optimised Weight
1155.KL,0.16303823823344427
1066.KL,0.25
5819.KL,2.306163121018213e-16
6033.KL,0.0
5225.KL,0.23020362800771538
1082.KL,0.0
1818.KL,0.056433693290045744
1295.KL,5.06388918407534e-18
5347.KL,0.1173153766051615
3816.KL,0.004647979487440702
5297.KL,0.0
5292.KL,0.0
4677.KL,0.0
6742.KL,0.1120777136399279
5288.KL,0.06628337073626468
