Date,0097.KL,0128.KL,0138.KL,0166.KL,0272.KL,1015.KL,1023.KL,1066.KL,1082.KL,1155.KL,1295.KL,1562.KL,1619.KL,1818.KL,1961.KL,2445.KL,2488.KL,3026.KL,3182.KL,3336.KL,3689.KL,3816.KL,4065.KL,4197.KL,4677.KL,4707.KL,4715.KL,4863.KL,5008.KL,5020.KL,5099.KL,5168.KL,5176.KL,5185.KL,5210.KL,5211.KL,5216.KL,5225.KL,5236.KL,5246.KL,5250.KL,5258.KL,5273.KL,5285.KL,5288.KL,5289.KL,5292.KL,5296.KL,5297.KL,5302.KL,5306.KL,5309.KL,5310.KL,5318.KL,5347.KL,5398.KL,5681.KL,5819.KL,5878.KL,6012.KL,6033.KL,6742.KL,6888.KL,6947.KL,7047.KL,7081.KL,7084.KL,7106.KL,7113.KL,7148.KL,7153.KL,7191.KL,7203.KL,7214.KL,7223.KL,7233.KL,7277.KL
2023-05-23,-0.0012681187976916317,-0.0069687378002741005,-0.019293173271738264,-0.02752472818026507,0.00947873538604097,-0.016997366135711112,-0.007952244120133123,0.0018165136058645856,-0.016997489658587533,0.0034904255916930137,-0.010178167437730264,0.0,-0.014925702670457385,-0.011067383368383128,-0.010050196497024317,-0.008810352867020485,-0.008968640283011817,0.0030487480305806305,0.00452485380394733,-0.0063491514890640114,-0.0022564109374021875,-0.006798127602593197,0.0,-0.004683804000913159,0.0,-0.002224663654790442,-0.0037522447959904095,-0.0020021168240115608,0.0,0.0,-0.01916997403301815,0.023256807144749574,0.0,0.0,0.0074905783253138,0.0,-0.023530432048672088,-0.010118175620072641,-0.0070180365667948715,0.037337642282325986,0.0,-0.021053309846243245,0.011481226121868266,-0.008888889099402681,-0.011049885566741814,0.013072084869310064,-0.06923180843161715,0.006269495323549988,0.0,-0.008733044115921679,-0.012739159656055045,-0.014084700234530144,0.008583542387001767,0.007843344752024061,-0.00417558456962605,0.007255138973117581,-0.0026821339020900404,-0.009049739314242435,-0.008733920247397118,-0.004796047702319524,0.002352939799045509,0.0,-0.0033501240190242053,-0.004545421316242913,0.0,0.08223810271852436,-0.001771299634161338,0.0,-0.00823044541253434,0.02061925252632045,0.020067523584120398,-0.008437429535525117,-0.006734064359343883,0.009389859611419983,0.0,-0.05348867906631844,0.00470583962659584
2023-05-24,-0.003814402233647657,-0.010544844391520482,-0.006515396324835096,0.04546238739758118,-0.04831853273156115,0.002852913074035992,-0.0060061922477341965,-0.009115746170894022,0.012493175029613314,-0.005824096034029081,0.0025543578405115073,-0.031009709512436416,0.0,-0.009584619177175931,0.005037788794190774,-0.0026584520355450413,-0.003007566651280551,-0.00994283847600177,-0.009070157125010393,-0.01282087657340872,-0.012883843274381681,-0.004101351846685867,-0.0012431164722496583,-0.009434075336685289,0.0063898506470263265,-0.0014859237966077538,-0.011342373631034226,0.019841972256708328,-0.015113587021286881,0.0,0.01916997403301824,-0.02325680714474964,0.0,0.0049876864043258305,-0.05365281719266094,-0.012820784865915289,0.011834540310098052,-0.008510584153306711,0.013987018458505925,0.0,0.009852326973637084,0.0,-0.009174367245604869,-0.015748461569987677,-0.011173423216278006,-0.01307208486931002,-0.02909293319254099,0.0,0.05556984649387388,-0.017700395340110368,0.012739159656054988,-0.02150623136513731,0.016949841115084345,-0.007843344752024002,-0.004192755229210171,-0.004830719995914234,0.0,-0.016293512792261454,-0.008810312185802284,0.004796047702319553,-0.004711365318689396,-0.008510646896818267,0.003350124019024309,0.006810709279441458,0.0,-0.02666822164632427,0.0,-0.019999865133055947,-0.016667043305484082,-0.027588060050334418,-0.040546013827869425,-0.017095617063861663,0.0,-0.009389859611419934,0.0,-0.005509640985508431,0.013986207421453881
2023-05-25,-0.006389787076939272,0.0,0.0,0.004434586929893624,0.0,-0.002852913074036057,-0.004023875117423005,0.0,0.0011279226896051902,0.0,-0.007682590439887641,0.007842479015189842,0.0,-0.004827111261131276,-0.017744459715841945,-0.034299341975866524,0.0,-0.0007689263819484985,-0.013761677177410624,-0.012987127617965272,-0.009195464929405558,-0.00963506165710397,-0.0049874504531986705,-0.019139360104187784,-0.006389850647026349,0.0,-0.0038096308972214933,-0.017839855432696616,-0.00815498985131174,0.01626029642700789,-0.01273908961882177,-0.08594248114939529,-0.006389907549490559,0.0,0.031010338303881706,0.0,0.011695891738574027,0.0,0.0,0.00782272494389129,0.0,-0.026955857483945567,0.011454813402962482,-0.029921636851203675,0.04396325294187156,0.013072084869310064,0.025502268443113072,0.012422451811676857,-0.05556984649387397,-0.01348326584138154,-0.025642543125474128,-0.007272738828121808,0.0,0.007843344752024061,0.0062826709733461,-0.012180613426340442,-0.015336326809246868,0.003075133050138187,-0.0088890778879511,0.009524023787008291,-0.011876675277159956,-0.017241607035544972,-0.010084139597538,0.00900886699120935,0.0,0.0,-0.0017747713778517094,-0.030771635154061592,-0.051735751248946305,0.0,-0.013889262580830822,-0.017390893984593744,-0.006779719601175462,0.018692241523965633,0.0,0.02724963901159378,-0.0281709270337047
2023-05-26,-0.006430816966543722,0.08140081663369068,0.019417987663783533,0.08885324777623631,0.038839797345520136,-0.0028613175996709986,-0.01217064026058037,0.0,-0.005652976876664695,0.0023336704423361668,0.002567473982465288,-0.00784247901519,0.014925702670457418,-0.0016141417082131124,0.0,-0.006448891781526225,0.008995616191240981,-0.006947151764119893,-0.011614606281742964,-0.006557322140099969,0.0007695265971949505,-0.0027702089571431847,-0.005012582185792648,-0.0048426468563609664,0.06813781446059851,0.0,-0.015384912360929613,0.015873495805526838,-0.00307543784480763,0.0,0.01904825264330729,0.012739048685373582,0.0,-0.004987686404325849,-0.02316715930297925,0.012820784865915381,-0.01169589173857404,0.0,-0.006968981891711064,-0.018349160835517585,0.0,0.005449677344728104,-0.016073754681327553,-0.014117788725952676,0.010695268555803506,-0.01307208486931002,0.03533941647318748,-0.012422451811676756,0.028170874571492647,0.0,0.01290338346941892,0.007272738828121799,0.0,0.007782193598333066,0.011416556285790315,0.0,0.0063434331365634184,0.002045138531426035,0.008889077887951015,0.011778585802997139,0.0023867619878855783,0.07534947054931893,-0.01703619124569274,0.0,0.018349072162794307,-0.027398947339176118,-0.014311317426232381,-0.010472206467604191,0.03478609972562739,0.0,0.013889262580830798,0.008734310114338775,0.0,0.009216644552399634,0.0,-0.005390834068400025,-0.014388641671737815
2023-05-29,0.01663500627713068,0.028894513022508415,0.0,0.0,0.01886857873808785,0.005714230673706894,-0.0020428799197040478,-0.003669693545103829,0.0022650866057705664,0.002328369985326695,-0.002567473982465208,0.007842479015189842,0.02963167030065528,0.0,0.010178194563705492,0.010115236674053871,-0.005988049539960352,-0.011686794166911953,-0.007034023101076613,0.03236532633147401,-0.003081665808390118,0.001385911115375222,-0.0012570482186506126,-0.004866142766846923,0.07496299650650473,-0.014227042153842955,-0.011696034770897031,0.02334710424377371,-0.004115161249763137,0.0,-0.0063091630244854185,-0.004228449233201004,0.006389907549490594,-0.005012199177133891,0.007782238982215048,-0.006389926026889488,0.023256871032338453,-0.0017110163067179506,0.006968981891711174,0.005277175623944766,0.0,0.005420139261879474,0.0,0.007083715116774935,-0.021506163652098245,0.0,0.03748305670785763,0.006230597368299926,0.027398971922381228,0.009009398580783713,0.0,0.014388783844668684,0.0,0.007721877066320174,0.006173230323934753,0.012180613426340475,0.008992893672683577,-0.004094249174500664,-0.0088890778879511,-0.0023444780014446557,0.0011910234656950876,0.04725273991776259,-0.04930592988325534,0.022173775134119746,0.0,-0.0139863119332428,0.0017999974880014205,0.0,-0.008583791501463444,-0.02120208221820352,-0.006920428764089986,-0.017545519556693073,-0.020619298173503938,-0.027908886076365186,0.0,0.058998339314645695,0.01913937256390665
2023-05-30,-0.003814402233647657,-0.0031696058064348566,0.0127392055573862,-0.004056477448290352,0.0,0.01694958798491841,0.0,-0.0036834250222346457,0.0045147798157105425,-0.0011635405890309258,-0.012936832351622516,0.007782123841379165,-0.014706084679840891,0.004834803492375845,-0.010178194563705462,-0.010115236674053812,0.011940455671253828,-0.0007840762216260037,-0.014218303492655855,0.006349151489064084,-0.005415872686363989,0.006901344623737367,0.0,-0.009804045277844653,0.011049927205813383,-0.019802594206552025,-0.011834452535844494,-0.0096617248453246,0.007190599094570795,0.0160004473983836,0.006309163024485387,-0.02575243736020228,-0.006389907549490559,0.0,0.0,0.0,0.0,-0.010327073996923609,0.0,0.005249260267681624,0.0,0.010752701071817005,-0.004640374935987326,0.002350254946180473,0.010810895096294565,0.0,0.013289219486816427,0.012345929304823037,0.02666824493567732,0.0,-0.006430800866736759,-0.007168468938873816,0.00836827593063431,0.015267577782785653,-0.013423124388822413,0.030991673384070967,-0.023551703200559472,0.002049110643074634,0.0,0.002344478001444715,-0.004773209335427995,0.01526749158064357,-0.007246293167755259,0.002190678396322891,-0.01834907216279437,0.013986311933242724,0.0,-0.021276546912185067,-0.044059917002119975,0.0,-0.01398630323734831,0.0,0.04845243786915259,0.009389859611419983,-0.08701136005649178,-0.015748344493704245,0.01877986711777918
2023-05-31,-0.006389787076939272,-0.012779695102124889,0.06136932367656617,0.02409728713520382,0.0,0.019418196618129494,-0.014418400805266084,-0.012999239659911982,-0.02508693595824146,0.00696042783943015,-0.007843058770622758,0.007721918772766964,-0.02247285585205863,-0.0032206617841627596,-0.057910994766218395,-0.03575164623501195,0.023461435946570595,-0.004717015423025051,0.002383892958203367,0.03727152526307553,-0.018794597258025226,0.00411801487513466,0.022388913974540677,0.01951283490105236,0.06385145321968218,0.030305229154438888,-0.003976255693607694,-0.009756412348010704,-0.007190599094570809,0.01574835359968631,-0.01904825264330718,0.0,0.043894319166247434,-0.005037939388030373,-0.03149867016414386,0.0063899260268894965,0.02272811217764667,-0.0017314931174122483,0.020619205887386662,-0.010526435891626284,-0.004914060372771852,-0.010752701071816952,-0.035506709833750066,-0.009433970062955451,0.0,0.0,-0.013289219486816477,-0.037504431020995425,0.0,0.0,-0.14558531873361652,0.0,-0.008368275930634253,-0.007604651807964615,-0.011500330910241958,0.04138509103747314,-0.032606618128942555,-0.00925446630384778,0.05218585696877785,-0.03819078458737186,0.001195423881847337,0.029853094722221092,0.01084994117242093,-0.022125010280114012,0.0,-0.0139863119332428,-0.0017999974880014223,0.036942742877817826,0.02666818155961865,-0.021661459853395734,0.04138522224518733,-0.008889537530651224,-0.08455755121061506,-0.009389859611419934,0.08701136005649175,0.026111166637711687,0.00464032902375662
2023-06-01,0.007662871802042652,0.025398051425146045,0.0,-0.01600020111715054,-0.03809992302983391,0.0,0.008264481968188625,-0.0037452871423481232,0.008050597734043203,-0.005796887250399161,0.005235558595671174,0.07410906605811328,0.0,0.0,0.005405482988937185,0.0066826408078154475,-0.0204985080122238,-0.011890771356704459,-0.01197608044793846,0.0,0.003944616147754301,-0.02076193339167478,-0.02238891397454074,-0.014598867221125175,-0.07490138042549552,0.0029805862698107557,0.0,0.0,-0.0030975943407218977,0.0,-0.03257614007055464,0.012959168348957687,-0.031155166118826374,-0.02557672683546163,0.0,0.01265825535570873,0.0,0.01156476013673729,0.006779214197429315,0.0,-0.014888628595272301,-0.02185884606622094,0.009592390367769765,0.0,-0.010810895096294671,-0.013245230140030137,-0.0033500836743294692,-0.008991745012789803,0.0,0.0,-0.007490750591663845,0.007168468938873814,0.02489751933469625,-0.007662925974821082,-0.005271508276366456,-0.041385091037473086,-0.0009475467437386099,-0.004140871399559136,-0.017094685762623362,0.0314417227407043,-0.010810871986637407,-0.029853094722221193,0.007168472754818425,-0.02033919707523892,-0.018692250337723496,0.013986311933242724,-0.018182421247597825,-0.020942334149995818,-0.0088105727816626,0.0,-0.013605624843587663,-0.008967203357500458,0.07095185939951115,0.018692241523965633,-0.2876820103636099,-0.010362822144007494,-0.03294415404246865
2023-06-02,0.001271404789595158,-0.025398051425146093,0.011834768852925923,0.02390556586461953,0.028710079677787145,-0.0055097425973851515,-0.01034130384948049,-0.0037594769024499194,0.0068494028929530345,-0.002328369985326839,-0.013140835248016717,0.01418388026727467,0.0,0.006430897593763526,0.010724021378965165,0.009469863671851871,0.0,0.0007972816214695276,0.009592187489735155,0.006078892126061911,-0.002364837371403929,0.008356662777427606,-0.010113948061361603,0.014598867221125281,0.02197901752479121,-0.019534714281008017,0.011881431779866997,-0.003928967050438535,-0.0010346433891002555,-0.031748800998069884,0.04531522968937645,0.00428266955907217,-0.006349245497930411,-0.020943195186947924,0.015873252181026493,-0.031951603884992054,0.011173379195149526,-0.006993038227418844,0.0,0.01052643589162629,0.0,-0.005540254053847691,0.0,0.0,0.0,0.0,0.006688981750297954,0.02547907410509684,0.025975406983346855,0.01336322741881642,0.007490750591663785,-0.007168468938873816,-0.008230636129598573,0.0,-0.0042373974998976644,0.0,0.014118028687240965,-0.016736888642055237,0.01709468576262335,-0.024097661390915553,0.00722030466585694,-0.015267491580643618,0.0,0.022574112711196213,0.0,0.013793308523969955,-0.03168953230611941,-0.005305549907975213,0.017544301328756423,0.0072728090526546505,-0.020762127980992286,0.026667950330505813,0.0,-0.01869224152396561,0.0,-0.010471401895048338,0.014252106994419075
2023-06-06,0.0025380315166407914,0.019108814680161307,0.005864635721384175,-0.01587351639450332,0.0,-0.01111124455118605,0.014448160863904705,0.0,-0.030025188016168006,0.0,0.007905276652345486,-0.014183880267274749,0.015037909421442393,-0.009661878120329818,0.01587326468713336,0.006575820444818052,-0.008915334065640356,0.003181986324480918,-0.007185656394944736,-0.018349081904592095,-0.00395413625978297,-0.0013879110530025344,-0.0012714328286401984,-0.03941393914885527,-0.02197901752479123,-0.0022788618224261733,-0.007905176086259263,-0.015873495805526848,-0.016701924573832995,0.0,-0.01273908961882177,-0.017241837908029693,0.01892797355719622,-0.0268116631896081,-0.2694759753670799,0.006472563663367996,0.01104991305619617,0.0310907259773504,-0.027398420084815876,-0.002621256949220158,0.0,-0.022472748128916527,0.0,0.03949393270653522,0.021506163652098297,0.0,-0.010050326220427584,-0.019048291909455294,0.02531788343320815,0.013187177035083084,-0.02264243706462051,0.021353063719227853,-0.00829860727446348,-0.007721877066320246,-0.012820656843095338,-0.004705990584294834,0.005163116451977426,-0.008474449154270997,-0.017094685762623362,0.0024361711824161035,0.004830958274062588,-0.007721906778676687,0.021202348535890165,-0.018018338801990805,0.018692250337723555,0.0,0.0037806186275751506,-0.016086133039889546,-0.03540191010671245,-0.01459889959953392,0.0,-0.008811209442354232,-0.0068728124536582445,0.0,0.0,0.010471401895048313,-0.014252106994419065
