Ticker,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio
1155.KL,0.0005411939922679357,0.008801167379481332,0.1363808860515198,0.13971420079896985,0.061491160085155566
1066.KL,0.0011437733414350695,0.010204815659543268,0.2882308820416375,0.1619964264624544,0.11208172490263885
5819.KL,0.0005086823654222337,0.010454685425721807,0.1281879560864029,0.16596298603122803,0.04865592265174382
5225.KL,0.0007649656269235974,0.010677285564276415,0.19277133798474655,0.16949665368177214,0.07164420416767583
1082.KL,0.0004643366111372396,0.010704166661878359,0.11701282600658437,0.16992337787711131,0.04337905283098032
6033.KL,0.00022756637601824322,0.010783268858012323,0.05734672675659729,0.17117908631188844,0.0211036540973523
1961.KL,0.000266946415016267,0.010805216699227925,0.06727049658409928,0.17152749748991575,0.024705327292079332
1818.KL,0.0005435005391111539,0.011516616507763434,0.13696213585601077,0.18282061934665927,0.04719272702575242
1295.KL,0.0005099358324961426,0.011619370479056488,0.12850382978902794,0.18445178807225343,0.04388670052437731
5347.KL,0.0006322163835156716,0.011702648983388976,0.15931852864594925,0.1857737933443805,0.05402335696926866
