,Annual Return,Annual Risk,Sharpe Ratio,Beta vs FBMKLCI
Stage 1 Optimised,0.17197756876751613,0.09315918115849378,1.5240319526420756,0.7519046857379404
Stage 2 Optimised,0.1952378470317791,0.10471008509981534,1.5780509286595021,0.8414382543369936
