Asset Cap,Stage 1 Sharpe,Stage 2 Sharpe,Better Portfolio
20%,1.427025148789722,1.574060660193752,Stage 2
25%,1.424151119991509,1.5873330428964478,Stage 2
30%,1.459867375776455,1.589118973307173,Stage 2
