,^KLSE
1155.KL,0.8650924124321128
1066.KL,0.8285800611037019
5819.KL,0.8235195269673015
5225.KL,0.562544661437532
1082.KL,0.7405573691869412
6033.KL,0.561978301028502
1961.KL,0.5086252499869702
1818.KL,0.7327696019431293
1295.KL,1.079614319846739
5347.KL,0.9383945323752405
5168.KL,1.1638804178673487
5216.KL,0.9919628396516852
7113.KL,0.9492121202958829
5183.KL,1.2275786732128724
0166.KL,1.9803581052628858
