Max Weight Cap,Stage,Annual Return,Annual Risk,Sharpe Ratio,Beta vs FBMKLCI,Status
20%,Stage 1,0.17058574514688443,0.09618105341939824,1.4270250459351872,0.7648916796530185,Income optimisation successful
20%,Stage 2,0.1907393027506945,0.10000017530504413,1.574060538369694,0.8405084250174374,Income optimisation successful
25%,Stage 1,0.17574843846503765,0.1000002624030346,1.424150917905421,0.7540396813509014,Income optimisation successful
25%,Stage 2,0.1920664690146877,0.10000013404997785,1.587332832597837,0.830696258744408,Income optimisation successful
30%,Stage 1,0.17931970969019267,0.10000002522557025,1.4598669989124218,0.7784306535892769,Income optimisation successful
30%,Stage 2,0.1922449242323717,0.10000004957157198,1.5891187248428547,0.8268155005456321,Income optimisation successful
