Max Weight Cap,Stage,Annual Return,Annual Risk,Sharpe Ratio,Beta vs FBMKLCI
20%,Stage 1,0.16555154670981406,0.09223934395800054,1.4695632134106995,0.7615966261684035
20%,Stage 2,0.21976994880001377,0.11559581891139203,1.6416679304420052,0.9381621666201505
25%,Stage 1,0.16993357858985075,0.09342968060049388,1.4977422344855051,0.7583791587543242
25%,Stage 2,0.22227865682808004,0.11573404263193152,1.6613837420298454,0.9265979872390259
30%,Stage 1,0.17296504118540723,0.09442159233636478,1.5141138551880449,0.7591108741288728
30%,Stage 2,0.225162624082276,0.11665207327784716,1.6730317653028668,0.9271124198844622
