,Beta vs FBMKLCI
1155.KL,0.8321130225942491
1066.KL,0.7873676444541194
5819.KL,0.7898168689415591
6033.KL,0.5310128415371491
5225.KL,0.5688109283583495
1082.KL,0.7052461648241649
1818.KL,0.6814163845638527
1295.KL,1.0766844667802324
5347.KL,0.9597780231126815
3816.KL,0.6432248859799954
5168.KL,1.1344443944863463
5216.KL,0.9052479693623963
7113.KL,0.8600056564387171
4677.KL,1.8178162896121672
7106.KL,0.7404756192029072
