Ticker,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio
0138.KL,0.00040037464355908417,0.027395606767218802,0.10089441017688922,0.43489177513067473,0.014614556522185405
0166.KL,-0.0002544780891448889,0.031316646649585715,-0.064128478464512,0.49713635358772756,-0.008125968657894453
1023.KL,0.0006512879979123219,0.014353218336550113,0.1641245754739051,0.2278502773915427,0.045375746584571434
1066.KL,0.0011437733414350695,0.010204815659543268,0.2882308820416375,0.1619964264624544,0.11208172490263885
1082.KL,0.0004643366111372396,0.010704166661878359,0.11701282600658437,0.16992337787711131,0.04337905283098032
1155.KL,0.0005411939922679357,0.008801167379481332,0.1363808860515198,0.13971420079896985,0.061491160085155566
1295.KL,0.0005099358324961426,0.011619370479056488,0.12850382978902794,0.18445178807225343,0.04388670052437731
1562.KL,0.0001482928195245029,0.013405288236133298,0.03736979052017473,0.21280235355569044,0.011062262661744704
1619.KL,0.00018243999318767474,0.027584777410631783,0.04597487828329404,0.43789476599762367,0.006613792472269809
1818.KL,0.0005435005391111539,0.011516616507763434,0.13696213585601077,0.18282061934665927,0.04719272702575242
1961.KL,0.000266946415016267,0.010805216699227925,0.06727049658409928,0.17152749748991575,0.024705327292079332
2445.KL,-3.865640996272562e-05,0.012852551401472023,-0.009741415310606858,0.20402792832581787,-0.0030076837473918404
2488.KL,0.0007165137834054456,0.014237939862429464,0.18056147341817227,0.22602028834728932,0.05032425971233064
3182.KL,-0.0008048965310329451,0.01717744055097452,-0.20283392582030216,0.27268341515084943,-0.0468577683994535
3816.KL,0.0002990863821016903,0.012049074896041637,0.07536976828962595,0.19127313421990563,0.02482235231187302
4197.KL,6.0642470737303655e-06,0.021820605577430277,0.0015281902625800521,0.34639137488825683,0.0002779137843911538
4677.KL,-0.0004442144121236868,0.02804454315064041,-0.11194203185516907,0.44519332085408614,-0.01583960236890302
4707.KL,-0.00029022406192916173,0.01616606622925914,-0.07313646360614875,0.25662834552491626,-0.017952670601081792
4715.KL,-0.00017211718444638626,0.018576303591508265,-0.043373530480489336,0.2948896774918011,-0.009265416211493535
4863.KL,0.0007060314735973653,0.013633179779066947,0.17791993134653605,0.21642001964667384,0.051787732945577425
5168.KL,-0.0011443092420341792,0.03623271734841234,-0.28836592899261315,0.5751765565679681,-0.03158220872673027
5183.KL,0.00011877598773187723,0.031933704925519474,0.029931548908433064,0.5069318500430575,0.0037194552905434625
5211.KL,0.001087909091433764,0.018792793699800886,0.2741530910413085,0.29832635141888747,0.057889694784724346
5216.KL,-4.464432545548232e-05,0.03568549954896611,-0.011250370014781545,0.5664897433060317,-0.001251049474429335
5225.KL,0.0007649656269235974,0.010677285564276415,0.19277133798474655,0.16949665368177214,0.07164420416767583
5285.KL,0.0008194716362825826,0.013647714429450772,0.2065068523432108,0.21665075006852708,0.060044606041449886
5296.KL,0.0005406590715983753,0.021179692879752413,0.1362460860427906,0.3362172012273019,0.025527238504730175
5347.KL,0.0006322163835156716,0.011702648983388976,0.15931852864594925,0.1857737933443805,0.05402335696926866
5681.KL,0.0002592727166775803,0.019286706364215072,0.06533672460275024,0.3061669718954389,0.01344307896752345
5819.KL,0.0005086823654222337,0.010454685425721807,0.1281879560864029,0.16596298603122803,0.04865592265174382
6012.KL,0.00023714107834375337,0.015108272049697702,0.05975955174262585,0.23983638350044922,0.01569610856646563
6033.KL,0.00022756637601824322,0.010783268858012323,0.05734672675659729,0.17117908631188844,0.0211036540973523
6742.KL,2.64387859605484e-05,0.026445766729240188,0.006662574062058197,0.4198135319759734,0.0009997360345508882
6888.KL,-5.691748784266024e-05,0.020317729187520332,-0.01434320693635038,0.32253395181442335,-0.002801370532963911
6947.KL,-0.00044777532635615654,0.014425457809497968,-0.11283938224175145,0.2289970434731171,-0.031040631934837703
7084.KL,-0.00010395230135103971,0.011830403556380502,-0.026195979940462008,0.18780183431830147,-0.00878687703725669
7106.KL,-0.0012139789393832633,0.031085724525841178,-0.30592269272458233,0.493470578517822,-0.03905261845752051
7113.KL,0.00010800278782659988,0.032951325012572114,0.02721670253230317,0.5230860681199687,0.003277646279334532
7203.KL,-0.000733094839163529,0.020963790412396367,-0.18473989946920932,0.3327898558108859,-0.03496957490712335
7277.KL,0.0002588044558459911,0.024397813905544904,0.06521872287318976,0.387303288766232,0.010607690379471764
