Date,1155.KL,1066.KL,5819.KL,6033.KL,5225.KL,1082.KL,1818.KL,1295.KL,5347.KL,3816.KL
2023-05-16,0.004592523442782766,0.0018166196460233754,-0.00401190397653235,0.0011897988212252364,0.0016906821007861897,0.006719009787759474,-0.004834890373782979,0.002534863535271667,0.02181902145842833,-0.0013803243980011883
2023-05-17,-0.0022935925134239285,0.0,-0.0030196336603857048,0.004744770321881818,-0.0033840559878253853,-0.013483470223541516,-0.00323629603857595,0.0025284542453810205,0.002053438782275567,0.0068824208372271455
2023-05-18,0.005724147783892071,-0.0018166196460233696,0.007031537636918,0.0011827629499964948,0.008438849194381152,0.001130592484983765,0.009677549007920406,0.002522077284973936,0.0040941613076853015,0.0041066645600354714
2023-05-19,0.00228045099160947,0.0,0.0,0.009411824628766077,0.0,0.020135086642782404,0.0016036997296803546,0.002515663483745113,0.0030597401238728716,0.005449549544076673
2023-05-22,-0.023042565598238394,0.0,0.0,-0.0058719697698021486,0.0016792406950764977,-0.014501218691984197,0.019048387784803757,-0.007566195014100105,-0.02265802093457908,0.0027139024512363944
2023-05-23,0.0034904921883509923,0.0018166196460233754,-0.009049524552078355,0.0023531298963992094,-0.010118089889457666,-0.016997547916860308,-0.011067296508252276,-0.010178236887530565,-0.004175360659032524,-0.0067980524377237615
2023-05-24,-0.005824096034029081,-0.009115959804910168,-0.016293839937028407,-0.004711364420958207,-0.008510756347275135,0.012493114739082288,-0.009584791006231785,0.0025542878592110306,-0.004192980078650499,-0.004101276064000981
2023-05-25,0.0,0.0,0.0030755709324347324,-0.011876737420910496,0.0,0.0011280416393527372,-0.004827024099457405,-0.0076824499375831865,0.0062827836337569845,-0.009635365013654048
2023-05-26,0.0023336038456781326,0.0,0.0020448108479859885,0.0023866974086352594,0.0,-0.005652856578282968,-0.0016142288698869321,0.002567403461461364,0.011416777653655437,-0.002770132964037521
2023-05-29,0.0023283036984268184,-0.0036696943305155826,-0.004094140095548573,0.0011910875847669189,-0.0017107566205460296,0.0022647876809260684,0.0,-0.002567403461461288,0.006172898953291426,0.0013860638413171176
2023-05-30,-0.0011633411863479835,-0.0036832106028068766,0.0020493292475626786,-0.00477340222931881,-0.010327159709252156,0.004514839492425745,0.004834890373783019,-0.012936831433377254,-0.013423125875358126,0.006901344098908424
2023-05-31,0.0069604273780362845,-0.012999130646669813,-0.009254684908335722,0.001195617235916743,-0.0017316682900546123,-0.02508699687535045,-0.0032206615038960365,-0.00784313020987186,-0.01150021942092816,0.004118090037466079
2023-06-01,-0.005797086191688191,-0.003745396155590183,-0.004140760623318375,-0.010811000837971546,0.01156484779888983,0.008050658651152058,0.0,0.005235630221441296,-0.005271394901415797,-0.020761853167822447
2023-06-02,-0.002328303698426861,-0.0037594769024499194,-0.01673677412652334,0.00722030466585694,-0.006992950965126303,0.0068495229252873956,0.00643072382913776,-0.013140834300582955,-0.004237397018463655,0.008356355190130914
2023-06-06,0.0,0.0,-0.00847467444604352,0.00483082958243875,0.031090638715057895,-0.030025431739496018,-0.009661791517377852,0.007905204079141704,-0.012820770699479959,-0.0013878346371126093
2023-06-07,0.0,-0.0018847767902484885,-0.002129852862979182,0.003608045040161471,-0.027588050574549494,-0.0023474397030445165,0.0032310676882401084,0.0,-0.0032309836324998175,-0.0013899932845535719
2023-06-08,0.0023283036984268184,0.005644253692698409,0.0031930806038793433,-0.009650318158812782,0.0,0.012843071613480304,-0.0016142288698869321,0.0,-0.01631362230383571,0.019472271024365023
2023-06-09,0.002322895290293951,-0.007533030574323556,-0.008537987269712992,0.007246551780821993,0.001746747643327706,0.0034743282447414307,0.004834890373783019,0.0026211697715114177,0.006557559654280795,-0.00414087654800559
2023-06-12,0.0011594935435088518,0.001888776881625274,0.003210279665588272,-0.002409687243088344,0.015584757416284288,-0.009291547770633445,0.0064102847451756335,0.007822750302903135,0.008676821315168877,-0.00415794317561103
2023-06-13,-0.0011594935435087067,0.0018847767902485121,0.00956934996494423,0.01793227908278132,-0.008628205366284369,0.015055303310322461,0.007955349433739274,-0.01044392007441446,-0.01304362897716502,-0.005571005679272821
2023-06-14,-0.002322895290293923,0.0037594769024499263,-0.007434722964698829,0.0011838717843242268,0.005185903022742828,-0.002301456470454177,0.0,0.0026211697715114177,0.0065429065013831705,0.0027893063595555373
2023-06-15,0.0,0.0,-0.008565525427250193,0.00590012291225278,0.0,0.009174335758216199,0.006319313705034333,0.007822750302903135,-0.009830778029824535,0.002781699319717478
2023-06-16,-0.003494424908056785,0.0037453961555900875,-0.00539066305103712,-0.005900122912252813,0.02721248697600669,0.013605652055778678,-0.02713667707608535,0.005181304058932218,0.009830778029824553,0.0
2023-06-19,0.009291511099745017,0.0,0.010752765229672797,-0.005934696017568918,-0.006733950417466913,-0.013605652055778598,0.008058091787697605,0.0,0.002171606366044818,0.0013880290084325134
2023-06-20,0.0,0.007448752820670466,-0.005362102178635795,0.011834818929821772,0.013423023692917741,-0.001142274917725246,0.0032050911170431098,0.002580725517502768,0.0,-0.004169728328149834
2023-06-21,0.01035093062443214,0.0,0.007498895474363043,-0.013025741720724938,-0.021904946814708306,0.006833919697360362,0.011137820750840398,0.007702174070772,-0.0032590638600851498,-0.0013936806513471017
2023-06-22,0.0011434521985576017,0.003703672736104292,0.01588165714041577,0.003569283053777609,0.008481923121790578,-0.0068339196973603395,0.023456819737213176,0.0025542878592110306,0.0010874574940403937,0.0
2023-06-23,-0.0011434521985575262,-0.0018500137162070277,-0.012685174324549185,-0.005955902452161276,-0.010186805447947334,-0.0034344929396024513,-0.01244185397873132,-0.010256461929982972,0.0,0.0027854216598653934
