,Stage,Mean Return,Volatility,Annual Return,Annual Risk,Beta vs FBMKLCI,Sharpe Ratio,Return/Risk Ratio
5297.KL,Stage 2 High Volatility Addition,0.00016434325473100006,0.03745218389154787,0.04141450019221202,0.5945349877997695,1.016559298825047,0.013593022084615781,0.004388082019646622
5292.KL,Stage 2 High Volatility Addition,0.0008292172811514074,0.029854176133789594,0.20896275485015467,0.4739203538803622,1.670514969918276,0.3705892360164767,0.027775587490183044
4677.KL,Stage 2 High Volatility Addition,0.0014701926469646786,0.029237520931234176,0.370488547035099,0.4641312560165474,1.8234772149835927,0.7264229023397328,0.05028444957500091
6742.KL,Stage 2 High Volatility Addition,0.0017985542222005873,0.026822698067483823,0.453235663994548,0.4257971314700099,1.6742222316262692,0.9861566929112813,0.06705344174085563
5288.KL,Stage 2 High Volatility Addition,0.0017056861994237643,0.025397393016212383,0.4298329222547886,0.40317111522159954,1.8538656124565114,0.9834532641652237,0.067159893077803
