,Inverse Volatility Weight
1155.KL,0.12458324977195206
1066.KL,0.10876323847378912
5819.KL,0.1031763218503148
6033.KL,0.10061436954313463
5225.KL,0.09962794128938217
1082.KL,0.09742014424743106
1818.KL,0.09380870987773907
1295.KL,0.09256793272869314
5347.KL,0.0900982688328929
3816.KL,0.08933982338467113
