,Income Optimised Weight
1155.KL,0.16230636082606012
1066.KL,0.24999999999999992
5819.KL,7.563326592623099e-17
6033.KL,0.012865455467242265
5225.KL,0.21241775949418965
1082.KL,0.0
1818.KL,0.08308788778018716
1295.KL,0.0
5347.KL,0.11429309714806402
3816.KL,0.07316114452743946
5297.KL,0.0
5292.KL,3.2558252426560796e-17
4677.KL,0.0
6742.KL,0.06625714988694871
5288.KL,0.02561114486986853
