Date,1155.KL,1066.KL,5819.KL,5225.KL,1082.KL,6033.KL,1961.KL,1818.KL,1295.KL,5347.KL,5168.KL,5216.KL,7113.KL,5183.KL,0166.KL
2024-05-08,-0.004065090673116667,-0.0036362814311045044,0.0,-0.0015847346161590448,-0.005707778577720535,0.0022025370685245793,0.0,0.01801802403404884,-0.002375416920556317,-0.006410220513100917,0.006920402577621498,-0.010309331772691777,0.027933049400408416,0.0101301530082325,0.0031152823374174243
2024-05-09,0.004081683084955934,0.0018245284190983035,-0.005076189005144172,0.0,0.0,0.0032967152839278313,-0.00980399175570057,0.0,-0.007142844207576382,0.003225746828894094,-0.006872839759633376,0.0,-0.005434812422204449,0.0028654868895343633,-0.04037266354448055
2024-05-10,0.003048627431592177,0.0018217000674680683,0.0,0.003174655516434477,0.00688877082248518,-0.010952942214424222,0.0,-0.0012642978846920672,0.00239814005618455,-0.003215374843688501,0.038062171676134904,0.0,0.03825131445125174,-0.012857206871117799,-0.00970871104844051
2024-05-13,0.0,0.0018181900746052637,0.0,-0.0015823820124928334,0.010262051634659874,0.003322271310006508,0.0,0.006329229070264786,0.0,0.0,0.0,-0.020833313132985976,0.015789498315888828,-0.002894370604089036,0.009803894224616805
2024-05-14,0.0010132652742167458,-0.001814890259149493,-0.006122484709344622,-0.006339093762261272,-0.012415270146311053,0.0,0.01237632710351444,0.005031420024008693,-0.0023924027393447123,0.003225746828894094,-0.013333228520723162,0.0,-0.005181375861030735,0.011611016949458763,0.0
2024-05-15,0.0,-0.0036362814311045044,-0.003080047162658417,-0.0063795342278913925,-0.005714301771568175,-0.0011037567904839118,-0.007335077273715074,0.011264037267855187,-0.004796028530627439,-0.003215374843688501,0.2905405080168857,0.0,0.3125000508500788,-0.022955497231479494,0.012944975143122983
2024-05-16,0.00404863305354386,0.0018245284190983035,-0.0010299608325353704,-0.0032102469945273215,0.0034482856074966595,0.0011049764157060604,0.0024630720600216094,0.018564308035279975,0.009638472134911646,0.020967727364012312,-0.044502634130430874,0.010638353354253116,-0.04761902491257686,0.013215852589331556,0.003194906114446283
2024-05-17,0.0,0.0018217000674680683,0.006185710254904331,0.009661757611917343,0.003436435795402426,0.004415027161935425,-0.009827895364866057,-0.0036451659373876177,0.0,-0.00473928955387648,0.0,0.10526304787951268,0.0,0.01449282682641373,0.009554113649768547
2024-05-20,0.0070564574930667145,0.005454471505709657,0.0,0.0063795342278913925,-0.0022831114310881695,0.005494298215412696,0.0,0.006097545156566353,0.0,0.014285572124369539,0.0,0.028571519754974295,-0.008333279093252766,0.012857135744478887,0.01261828828668321
2024-05-21,0.0,-0.007233404617153272,-0.005122998127271794,-0.006339093762261272,-0.004576671914139907,0.0,-0.027295354818618667,0.006060779110774295,0.0,0.0,-0.01643839414887227,-0.009259249682798898,0.0,-0.00846266560694331,0.01246105115090601
2024-05-23,0.0,0.005464803508582472,0.00926879593363461,-0.0031896889697698994,0.0011494285358322198,0.001093126390069088,0.015306039860799592,0.02168659981690957,0.0023865677678960306,0.025039226451402774,-0.030640649272499876,-0.009345900627746095,0.016806713355066893,-0.01564723403158319,-0.006153880850776616
2024-05-24,-0.0010010937697599864,-0.003623302803242523,-0.010204176338021953,0.0031998956416023905,0.0022962177334771017,0.0010915941157318976,0.0,0.008254781126324051,-0.007142844207576382,0.0,-0.02873558147242372,-0.01886790685497497,-0.06611576567531496,0.0014450939832719722,0.06501546014676696
2024-05-27,0.001002096962786192,0.0018181900746052637,0.0,0.003189845258121604,0.0011454785984674754,-0.001090403837319398,-0.00753761675033815,-0.002339199314880247,-0.009592182852125597,0.009160293006359232,-0.0236686687268699,0.0,-0.026548606692889054,-0.00865805220048943,-0.008720833928649863
2024-05-28,0.0,-0.001814890259149493,-0.004123664763742818,-0.014308427559218462,0.003432621153920623,-0.0010919327695424474,-0.00506326386504119,-0.003517086825328475,-0.002421429748531323,0.003025818226852328,-0.0030303348368135863,-0.009615435104300962,-0.00909095874489041,-0.010189207748041884,-0.0029324941135905336
2024-05-29,-0.009009093080696862,-0.0036362814311045044,-0.001035077950763963,-0.0016128507114592239,-0.004561132492575726,-0.001092674358066481,-0.015267285130408537,0.005882459945786511,-0.009708719940746402,-0.0045250741596888355,-0.024316141422650484,-0.009708608594032109,-0.018348614750746894,-0.010294023216594339,0.002941118927533015
2024-05-30,0.0,0.0,-0.0020725151079389326,0.0,0.0022909571969349507,-0.004376383458257083,0.0,-0.005848058973116577,0.0,-0.0015150847439943105,-0.0031151446415548234,0.00980378975146734,-0.009345845820327825,-0.0029718569123138305,-0.014662838629568187
2024-05-31,0.003030259406700875,0.0018245284190983035,0.0,0.0,-0.02742847287700023,0.0032967152839278313,-0.012919860661637306,-0.0011764187376792634,0.004901951646067992,-0.010622153833341419,-0.018750042221871488,-0.05825231429252575,-0.009434014666871215,0.0,-0.03273805699484189
2024-06-04,0.01309166941932216,0.0036432023390549073,0.011422506410771138,0.0,0.017626309525264228,-0.002190701698413844,0.007853394168392924,0.0047114617742236575,0.012195227266461162,-0.004601339173261221,0.012738830581142002,0.041237071191947194,-0.009523748488811545,0.002980715171299275,0.015384547654305969
2024-06-05,-0.0079522784470214,-0.003629977596185885,-0.0071867767128697135,-0.001615614509359653,-0.00923795957483986,-0.0010975854482189185,0.0,-0.004689367996164373,-0.00481926766672458,0.02157188671839716,0.0062893742514489315,0.029702941097319968,0.0,0.0014857435057629154,0.033333447432446706
2024-06-06,0.0,0.0018217000674680683,0.0041364573455360265,0.00970881868573592,0.0,0.004395620378570664,0.007792264361702106,0.018845541522919618,0.0,0.03318243035437907,-0.0031251093930306784,0.057692371950928356,0.019230760342999753,0.0,-0.0029324941135905336
2024-06-07,0.0020040865542059194,0.005454471505709657,-0.0010299608325353704,0.0,-0.0034964536055860362,0.0,0.005154676307315809,-0.0011557186117004958,-0.004842668983313869,0.004379518565785778,0.0689656287697673,0.02727269957855305,0.056603861279253875,-0.014836649265015378,0.020408133131091466
2024-06-10,-0.0009999855338569397,0.0,0.0,0.0016025904016847559,0.007017443376367449,0.005470479322821298,-0.010256419196132516,-0.0046296646609911285,0.0,-0.002906923113866755,-0.008797673817326546,-0.008849548774388039,-0.0178571332778511,0.010542070880735555,0.005797007076773664
2024-06-11,-0.0010010937697599864,0.0,-0.0010308096362906527,0.0,-0.002322768016980059,-0.005440715998450418,-0.005181384330102512,0.0034882779453495605,-0.007299319912820401,0.005830870812491007,0.0029585381665742094,0.008928562523928818,-0.00909095874489041,-0.01788369742242446,0.0028818696717565206
2024-06-12,-0.002003979182839455,-0.007233404617153272,-0.004127919863315732,-0.004800157039319686,0.0023281758293343113,-0.008752766916514054,-0.007812556352215116,0.013905029505236977,-0.004901951646067992,0.005796994377798681,0.014749272583569173,-0.026548646323164227,0.0,-0.001517533801316362,0.09195396692482727
2024-06-13,-0.004016006358820157,0.0072861079842878596,-0.003108879768632389,0.008038639412484283,-0.0034842710136375743,0.002227029909286804,-0.005249315904302998,0.0057141515295593415,0.004926099145884821,0.018732125788246012,0.031976722804203606,0.01818179971903544,0.06422009650713667,-0.0015196888769201111,0.02368428762356123
2024-06-14,0.002016099849224684,0.0,-0.002078978401831799,-0.0031896889697698994,0.0,-0.018888772607852045,-0.005277016631634712,0.003409176403829539,0.0,-0.004243384688941143,0.0112675857514275,-0.003656285858501307,0.008620737877401252,-0.0015220776280051584,-0.015424234961257
2024-06-18,-0.0010061294878840332,0.0,0.0,0.0063999480716627755,-0.004661958041482062,0.013589982841464288,0.010610022528614982,-0.0033975934085512804,-0.004901951646067992,-0.00426124875362599,-0.011142041839554362,-0.03669725586935657,0.0,-0.007621989399571705,-0.007832901915983181
2024-06-19,0.0010071428039577501,-0.005424881643364188,-0.0010417624432795813,-0.007949100456554503,0.0011709634182199835,-0.0022344949775680023,-0.015747947712908994,-0.002272627037516517,-0.004926099145884821,-0.011412350174418107,-0.0338027572542825,-0.009523811722989217,-0.02564106514222375,0.001536029583788956,-0.02105261982421036
