,Annual Return,Annual Risk,Sharpe Ratio,Beta vs FBMKLCI
Stage 1 Income Optimised,0.17574845864563354,0.10000026238332747,1.424151119991509,0.7540394223873396
Stage 2 Income Optimised,0.1920664900516341,0.10000013405442373,1.5873330428964478,0.8306962893087324
