Date,0138.KL,0166.KL,1023.KL,1066.KL,1082.KL,1155.KL,1295.KL,1562.KL,1619.KL,1818.KL,1961.KL,2445.KL,2488.KL,3182.KL,3816.KL,4197.KL,4677.KL,4707.KL,4715.KL,4863.KL,5168.KL,5183.KL,5211.KL,5216.KL,5225.KL,5285.KL,5296.KL,5347.KL,5681.KL,5819.KL,6012.KL,6033.KL,6742.KL,6888.KL,6947.KL,7084.KL,7106.KL,7113.KL,7203.KL,7277.KL
2024-04-30,0.027472562371552156,-0.009615278632048141,0.0,0.005484485736406475,0.0,-0.0020513621968182294,-0.014354040866927154,0.0,0.007194213922868675,0.0013422923495047812,-0.007316941951977962,-0.0025862546646695517,0.0,-0.004405336411169136,0.0012579719471859097,0.007194218834135846,-0.031250053331575045,0.002364153892582488,0.0038024434896732906,0.009787950399040124,0.007194231889936065,-0.015965175403828247,0.00859606676533331,0.0109889997484367,-0.0062795382124206656,-0.006666741943497256,-0.006369631639259521,0.0033557292912833603,-0.007319412752333165,-0.004127919863315732,0.00824173649955462,-0.0011097673528249752,-0.03966601572305717,0.010714349611647744,-0.007176884583415366,-0.00465104194617183,-0.011627407960637659,-0.005649681076793089,0.0,-0.00823049510157381
2024-05-02,-0.03208558772790493,0.006472365718151574,0.0045385072152477335,-0.00545457022381568,0.010765519969093695,0.0051387821391390975,-0.004854359970373201,-0.007092136726743026,-0.007142826898149268,0.016085777086020103,0.00982795601665809,0.004321542877244955,0.00785344443584779,-0.0066372439090158775,0.005025038923899938,0.0,0.019354904836596187,0.005503160774389615,-0.011363726658038642,-0.008077618646097906,-0.007142844609461907,0.0162241975637194,0.022727200166241746,0.0,0.0,0.0022371997865673343,0.06410256941005499,0.005016844984465418,0.0036867398435356247,-0.003108879768632389,-0.002724764724658102,-0.00444446078456151,0.0021739439750234624,0.014134359018140197,-0.009638622844127531,0.017133699117001244,0.011764195055880888,-0.011363630932731739,-0.007462708377033667,0.0
2024-05-03,0.01657456492417886,0.003215452510087813,0.0015060007431768607,-0.005484485736406364,0.008284169014603604,0.0020450697657499184,0.004878039731178063,0.014285588802495308,-0.007194213922868675,0.013192646634019756,-0.0048662149298841495,-0.004302947505103183,0.0025974161485498026,0.0022271970866361013,0.01874994020730658,0.024999959148665818,0.03164554476103221,0.0031273724892066923,0.003831382268418837,0.02117271580398916,0.04676255146705688,-0.0014513138892632282,-0.013888879463354376,0.021739108439698285,-0.006318987785421504,0.00011319249449837088,0.012048193708543264,0.02495841091385187,0.003673099967927751,0.00519755344532391,-0.016393399221480642,0.010044679951400903,0.0390455697106562,0.0034842499194303045,-0.004866057716734096,0.001531615470492964,0.01744186046511631,0.028735583763237038,0.0,-0.004149347698663597
2024-05-06,-0.00543470763930709,0.019230959536614245,0.015037685410460355,0.007353074741604848,0.0035210162536469802,0.003061070627903728,0.019417439881492804,0.0,0.0072463456838773865,0.002604186899627825,-0.014669909189296115,-0.0017285821558143954,-0.002590687056154395,-0.002222247703026148,-0.0012269085519288625,-0.017421588410589717,0.02453978246913424,-0.002338232386557726,-0.003816758806405085,-0.0015949275985939204,-0.00343629354385222,0.0,0.014084497349341252,0.02127657467560007,0.0015897733538905445,0.0022623461966919667,0.011904762820033277,0.004870081387978509,-0.009149436379019216,0.0,-0.002777891544962663,0.0022098385747255644,0.025052236801311745,-0.010416728007174414,0.004889852018884255,0.006116085790134784,0.005714776175830494,0.011173179482180995,0.0,-0.004166739874344572
2024-05-07,0.005464405083357882,0.009433777582576575,0.008888830322698382,0.003649552230110764,0.024561593964554707,0.0010172793598246521,0.0023809480691920903,-0.007042192534432723,0.0,0.009090844768850914,0.012406912076113885,0.000865787663012263,-0.0025973483928135588,0.0,0.004913920419656437,0.00354622992725262,0.002994047134187383,0.0023437125311027707,0.0,0.0,-0.003448396498592965,0.00436048688955637,-0.008333341250782333,0.010416721207604507,0.0015873277582172385,0.011286650299068057,0.0411765876841923,0.008077519749240647,0.010157087639049989,0.01861437871051974,0.0027856297222152993,0.0011025399803272773,-0.0061100660166659715,0.021052756856322352,-0.002433060321710201,-0.0015197544726268664,-0.005682303085533413,-0.011049718988692558,0.0300751815424527,0.03765684166871286
2024-05-08,0.07065215535626423,0.0031154389785676972,-0.010278921146677056,-0.0036362814311045044,-0.005707777910191947,-0.004064873317782602,-0.002375292620812819,-0.007092136726743026,0.0,0.01801809201520088,0.0,0.0034602424560199463,-0.015625012737283672,0.0022271970866361013,0.0024448818557032403,-0.007067207035252876,0.01492539967753248,0.0007793901357409094,0.003831382268418837,-0.0143769462991985,0.006920403165866729,0.010130152278324145,0.0028010775091151796,-0.010309331772691777,-0.0015848121419128613,0.031250003496489764,0.005649607847744598,-0.006410220513100917,-0.0036564104824560184,0.0,0.0,0.0022027653285670024,0.014344263127926027,-0.006872892288524168,0.0073171097879976,0.00456631430958554,0.0,0.027933049400408416,0.0,0.01612901773930897
2024-05-09,0.0,-0.04037273835309585,0.0014836563851812201,0.001824627497481135,0.0,0.004081463951697284,-0.007142844207576382,-0.007142794401247654,-0.007194213922868675,0.0,-0.009803868928319415,-0.012069042999385271,0.0,0.004444495406052296,-0.003658474372459919,0.0,0.0029412108282700355,0.0007789689530275368,0.0,0.001620692868782525,-0.006872840339820496,0.002865344024245431,-0.008379828412582335,0.0,0.0,-0.008657963098604449,0.005618014217519063,0.003225829712494299,-0.015596260030575904,-0.005076398336408716,-0.01944458609772437,0.0032967152839278313,0.0040403613416304385,-0.020761277226487462,-0.0072639586053865335,-0.010606264722530345,-0.00571330479119625,-0.005434812422204449,0.0,-0.011904579105251
2024-05-10,0.0,-0.00970871104844051,0.002962996682890795,0.0018216009893750051,0.006888652390173888,0.003048736662593754,0.0023980771607490237,0.0,0.0,-0.0012642978846920672,0.0,-0.011343897181170015,0.0,0.0066372439090158775,-0.003671843790819529,0.007117507937421719,-0.002932585476112859,0.003890946803450035,0.003816758806405085,-0.001618070473504929,0.03806234491462779,-0.012857065532320022,-0.014084497349341363,0.0,0.003174655516434477,-0.013100421865563816,0.005586628459406162,-0.00321545719513483,0.0,0.0,0.01983017565559253,-0.010953168725482354,0.0,-0.010600769263605092,0.002438994542556472,0.0030627826742206654,0.022987578721290536,0.03825131445125174,0.0,-0.0040162342850152966
2024-05-13,0.010152335743293994,0.009803894224616805,0.004431325091296401,0.0018182887927111757,0.010262168451985909,0.0,0.0,0.0,0.0072463456838773865,0.006329163391196824,0.0,-0.0044129960343340935,0.0026454473275867585,0.046153819052173084,0.0,0.0,-0.00294113781819616,0.0,0.034220612818198104,0.0,0.0,-0.002894442448575396,0.0,-0.020833313132985976,-0.0015823044865502789,0.002212405328181788,-0.01666663078803121,0.0,-0.005591808126098385,0.0,0.002777818798627818,0.00332238658064532,-0.010060206399994054,0.010714349611647744,-0.007299180965130492,-0.003053430679638036,0.0,0.015789498315888828,0.0,0.0
2024-05-14,-0.015075357846772497,0.0,-0.0014706445443970484,-0.0018149886192458942,-0.012415384341428748,0.0010132652742167458,-0.002392340144487859,0.021582542870120403,0.007194213922868675,0.005031485618378184,0.01237620167758835,-0.004432646627267944,-0.007915539859930099,-0.012605080045852368,0.004913920419656437,0.0035334133139706125,0.03834808972401049,0.0,-0.007352968480028199,0.001620692868782525,-0.01333330931377874,0.011611016949458763,0.002857098981088324,0.0,-0.006339093270038121,0.0044149321394644225,0.0,0.003225829712494299,-0.0159325481092657,-0.006122379887713136,0.013850329302694808,0.0,0.024390285689637636,-0.0035335897545349937,-0.0024509502511297354,0.0,-0.028089483553564,-0.005181375861030735,0.0,0.0
