Ticker,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio
0138.KL,0.0007855412008113605,0.027860957461754755,0.19795638260446285,0.4422789883917146,0.028195054024603688
1023.KL,0.0006825808690718587,0.014331535084444758,0.17201037900610838,0.2275060664354274,0.04762789645700426
1066.KL,0.0011567494860420875,0.010194489353610014,0.29150087048260603,0.16183250143768624,0.11346811457824182
1082.KL,0.0005724742833391908,0.010567169001976,0.14426351940147608,0.16774860744731462,0.05417480152272963
1155.KL,0.0005874923212212669,0.0087387963847489,0.14804806494775927,0.13872409195245544,0.06722805926072026
1295.KL,0.0005185161825135701,0.01159616827218946,0.13066607799341967,0.18408346445682525,0.04471444104145184
1562.KL,0.0002242936218047296,0.013389696652446794,0.056521992694791856,0.2125548448378096,0.016751210100323134
1619.KL,0.000233255294470642,0.027580321469950257,0.05878033420660178,0.43782403013222265,0.008457308763597333
1818.KL,0.0005780353684409507,0.011494546173189188,0.14566491284711958,0.18247026364684663,0.050287793857334465
1961.KL,0.0002527163824494664,0.010802189162856862,0.06368452837726553,0.17147943683997754,0.023394922884560035
2445.KL,5.95314622689435e-06,0.012857159585670654,0.0015001928491773762,0.2041010809821288,0.00046302188187266114
2488.KL,0.0007909498153735963,0.014230825272707073,0.19931935347414628,0.2259073477367751,0.05558003841776754
3816.KL,0.00032931148045921564,0.012049750884586354,0.08298649307572234,0.19128386520537635,0.02732931855715458
4863.KL,0.0005982962978798237,0.013276039011884958,0.15077066706571557,0.2107505857286357,0.04506587374021857
5183.KL,1.0579313539610052e-05,0.03184267913919548,0.002665987011981733,0.5054868604820132,0.00033223691679221384
5211.KL,0.0011908896065070732,0.018785216312560152,0.30010418083978246,0.29820606412552775,0.06339504356470049
5216.KL,0.00010806054682515416,0.035661401291421056,0.02723125779993885,0.5661071953270664,0.003030182295476704
5225.KL,0.0008433727315948342,0.01069690675279704,0.2125299283618982,0.16980813039329068,0.07884267396967895
5285.KL,0.0008507550565561476,0.013659561143095545,0.21439027425214918,0.21683881081747186,0.06228275181345603
5296.KL,0.000693037430147395,0.021137142263589485,0.17464543239714353,0.3355417311363039,0.032787659821981265
5347.KL,0.0006565318202384092,0.011700767433584712,0.16544601870007913,0.1857439246672117,0.056110150378168015
5681.KL,0.00029730741303394983,0.01927870494939076,0.07492146808455535,0.3060399533728681,0.015421544850363263
5819.KL,0.0005731182661253056,0.010396278742279278,0.144425803063577,0.16503580867547,0.055127250849341426
6012.KL,0.0002432683253665574,0.015114472648533469,0.06130361799237246,0.23993481495544391,0.016095058757485747
6033.KL,0.00011227355882266584,0.010396779399426471,0.02829293682331179,0.16504375636129148,0.010798878624745977
6742.KL,0.0003919805251050272,0.026900117693812085,0.09877909232646687,0.4270261299371707,0.014571702977909114
7113.KL,0.00024134471049619456,0.03308902035170639,0.06081886704504103,0.5252719138642207,0.007293800418716491
7277.KL,0.00012271846040605875,0.024320037063919255,0.030925052022326805,0.38606861968202283,0.0050459816357813665
^KLSE,0.00022433453204369295,0.007124945823420171,0.05653230207501062,0.11310500852146858,0.031485787766454366
