Date,0138.KL,0166.KL,1023.KL,1066.KL,1082.KL,1155.KL,1295.KL,1562.KL,1619.KL,1818.KL,1961.KL,2445.KL,2488.KL,3182.KL,3816.KL,4197.KL,4677.KL,4707.KL,4715.KL,4863.KL,5168.KL,5183.KL,5211.KL,5216.KL,5225.KL,5285.KL,5296.KL,5347.KL,5681.KL,5819.KL,6012.KL,6033.KL,6742.KL,6888.KL,6947.KL,7084.KL,7106.KL,7113.KL,7203.KL,7277.KL,^KLSE
2024-04-24,0.7589825987815857,2.9538984298706055,5.899926662445068,4.847855091094971,15.527060508728027,8.721819877624512,3.8634374141693115,1.2261810302734375,1.2673105001449585,6.855749130249023,3.834737539291382,21.556371688842773,3.454817533493042,4.359479904174805,7.1860785484313965,2.4981234073638916,2.6028411388397217,121.1769027709961,2.4396276473999023,5.612072944641113,2.6010582447052,6.589131832122803,3.3180124759674072,0.4274251461029053,6.03389310836792,4.166658401489258,1.4028630256652832,11.005111694335938,19.530187606811523,17.992464065551758,3.240980386734009,16.6197566986084,3.9236199855804443,2.4946234226226807,3.7703943252563477,4.137653827667236,0.6916660070419312,0.8432562351226807,0.636961042881012,2.335695266723633,1571.47998046875
2024-04-25,0.7684699296951294,2.9064083099365234,5.908771514892578,4.839073657989502,15.601530075073242,8.704021453857422,3.845256805419922,1.2350023984909058,1.258060097694397,6.855749130249023,3.815800428390503,21.594058990478516,3.4913763999938965,4.283331394195557,7.1860785484313965,2.4804060459136963,2.660468578338623,121.8485107421875,2.4120090007781982,5.5937628746032715,2.591352939605713,6.474205493927002,3.3277716636657715,0.4322276711463928,6.082553386688232,4.166658401489258,1.4028630256652832,11.005111694335938,19.566024780273438,17.95555305480957,3.240980386734009,16.601308822631836,3.9620864391326904,2.485485792160034,3.7796123027801514,4.1962971687316895,0.6916660070419312,0.8283752202987671,0.613369882106781,2.2972476482391357,1569.25
2024-04-26,0.8680864572525024,2.8779139518737793,5.846853733062744,4.830290794372559,15.676002502441406,8.712921142578125,3.827075481414795,1.2350023984909058,1.2673105001449585,6.855749130249023,3.834737539291382,21.669431686401367,3.4365382194519043,4.273813247680664,7.1769819259643555,2.489264726638794,2.9101877212524414,122.0404052734375,2.393596649169922,5.5937628746032715,2.591352939605713,6.579554080963135,3.386324405670166,0.4418327808380127,6.102018356323242,4.15727424621582,1.4213217496871948,11.060786247253418,19.566024780273438,17.77101707458496,3.259188175201416,16.6197566986084,4.250588417053223,2.512899160385132,3.853360652923584,4.1962971687316895,0.6875,0.8234148621559143,0.6275246143341064,2.326083183288574,1575.1600341796875
2024-04-29,0.8633427619934082,2.9633967876434326,5.846853733062744,4.803943634033203,15.564295768737793,8.677322387695312,3.7998039722442627,1.2438238859176636,1.285811424255371,6.846558570861816,3.882079601287842,21.85786247253418,3.4913763999938965,4.32140588760376,7.231559753417969,2.46268892288208,3.0734658241271973,121.7525634765625,2.421215295791626,5.612072944641113,2.698112726211548,6.5987091064453125,3.4058425426483154,0.43703022599220276,6.199338912963867,4.222965240478516,1.449009895324707,11.060786247253418,19.58394432067871,17.88174057006836,3.313811779022217,16.6197566986084,4.6064066886901855,2.5585880279541016,3.853360652923584,4.202814102172852,0.7166659832000732,0.877978503704071,0.6322428584098816,2.335695266723633,1582.6600341796875
2024-04-30,0.8870609998703003,2.9349024295806885,5.846853733062744,4.830290794372559,15.564295768737793,8.659521102905273,3.7452616691589355,1.2438238859176636,1.2950618267059326,6.855749130249023,3.8536746501922607,21.801332473754883,3.4913763999938965,4.302368640899658,7.240656852722168,2.4804060459136963,2.977419853210449,122.0404052734375,2.4304215908050537,5.667003154754639,2.7175235748291016,6.493359088897705,3.4351189136505127,0.4418327808380127,6.160410404205322,4.1948113441467285,1.4397804737091064,11.097904205322266,19.440603256225586,17.807924270629883,3.341123342514038,16.601308822631836,4.423689365386963,2.5860016345977783,3.8257055282592773,4.1832661628723145,0.7083330154418945,0.873018205165863,0.6322428584098816,2.3164713382720947,1575.969970703125
2024-05-02,0.8585991263389587,2.9538984298706055,5.873389720916748,4.803943634033203,15.731851577758789,8.704021453857422,3.7270803451538086,1.2350023984909058,1.285811424255371,6.966028690338135,3.8915483951568604,21.89554786682129,3.5187957286834717,4.273813247680664,7.277040958404541,2.4804060459136963,3.0350475311279297,122.71200561523438,2.4028027057647705,5.621227741241455,2.698112726211548,6.5987091064453125,3.5131895542144775,0.4418327808380127,6.160410404205322,4.204196453094482,1.5320740938186646,11.153579711914062,19.51227378845215,17.7525634765625,3.332019329071045,16.527524948120117,4.433305740356445,2.6225531101226807,3.7888317108154297,4.254940986633301,0.7166659832000732,0.8630975484848022,0.6275246143341064,2.3164713382720947,1580.300048828125
2024-05-03,0.8728300929069519,2.9633967876434326,5.882235050201416,4.777596473693848,15.862178802490234,8.721819877624512,3.7452616691589355,1.2526452541351318,1.27656090259552,7.057928562164307,3.8726112842559814,21.801332473754883,3.52793550491333,4.283331394195557,7.413485527038574,2.5424163341522217,3.1310932636260986,123.09577941894531,2.4120090007781982,5.740243911743164,2.8242835998535156,6.589131832122803,3.464395523071289,0.4514378011226654,6.1214823722839355,4.204671859741211,1.5505326986312866,11.431954383850098,19.58394432067871,17.844833374023438,3.277395725250244,16.69354248046875,4.6064066886901855,2.6316909790039062,3.7703943252563477,4.261457443237305,0.7291659712791443,0.8878991603851318,0.6275246143341064,2.306859254837036,1589.5899658203125
2024-05-06,0.8680864572525024,3.0203850269317627,5.9706902503967285,4.812726020812988,15.918030738830566,8.748520851135254,3.8179848194122314,1.2526452541351318,1.285811424255371,7.076308250427246,3.815800428390503,21.763647079467773,3.5187957286834717,4.273813247680664,7.40438985824585,2.4981234073638916,3.2079296112060547,122.80795288085938,2.4028027057647705,5.731089115142822,2.814578056335449,6.589131832122803,3.5131895542144775,0.4610428512096405,6.131214618682861,4.214184284210205,1.5689915418624878,11.487628936767578,19.404766082763672,17.844833374023438,3.268292188644409,16.730430603027344,4.72180700302124,2.6042773723602295,3.7888317108154297,4.287520885467529,0.7333329916000366,0.8978198170661926,0.6275246143341064,2.2972476482391357,1597.3900146484375
2024-05-07,0.8728300929069519,3.0488791465759277,6.023763179779053,4.830290794372559,16.308998107910156,8.757420539855957,3.827075481414795,1.2438238859176636,1.285811424255371,7.140638828277588,3.863142728805542,21.782489776611328,3.509655714035034,4.273813247680664,7.440774440765381,2.50698184967041,3.217534303665161,123.09577941894531,2.4028027057647705,5.731089115142822,2.804872751235962,6.617863178253174,3.4839131832122803,0.4658454358577728,6.140946388244629,4.261748790740967,1.6335971355438232,11.580421447753906,19.601858139038086,18.177000045776367,3.277395725250244,16.748878479003906,4.692956924438477,2.659104108810425,3.7796123027801514,4.281005859375,0.7291659712791443,0.8878991603851318,0.6463975310325623,2.3837547302246094,1605.6800537109375
2024-05-08,0.9344973564147949,3.058377265930176,5.961843967437744,4.812726020812988,16.215911865234375,8.721819877624512,3.8179848194122314,1.2350023984909058,1.285811424255371,7.269299030303955,3.863142728805542,21.85786247253418,3.454817533493042,4.283331394195557,7.4589667320251465,2.489264726638794,3.265557289123535,123.19171905517578,2.4120090007781982,5.648693084716797,2.8242835998535156,6.684903621673584,3.4936721324920654,0.4610428512096405,6.131214618682861,4.394928455352783,1.6428264379501343,11.50618839263916,19.530187606811523,18.177000045776367,3.277395725250244,16.785768508911133,4.760274410247803,2.6408283710479736,3.8072681427001953,4.300553321838379,0.7291659712791443,0.912700891494751,0.6463975310325623,2.4222023487091064,1604.75
2024-05-09,0.9344973564147949,2.9349024295806885,5.9706902503967285,4.821508407592773,16.215911865234375,8.757420539855957,3.7907135486602783,1.2261810302734375,1.27656090259552,7.269299030303955,3.8252689838409424,21.594058990478516,3.454817533493042,4.302368640899658,7.431678295135498,2.489264726638794,3.2751619815826416,123.28766632080078,2.4120090007781982,5.657848358154297,2.804872751235962,6.7040581703186035,3.464395523071289,0.4610428512096405,6.131214618682861,4.356876850128174,1.6520557403564453,11.543304443359375,19.225589752197266,18.084732055664062,3.2136693000793457,16.841106414794922,4.779507160186768,2.5860016345977783,3.7796123027801514,4.254940986633301,0.7250000238418579,0.9077405333518982,0.6463975310325623,2.393366813659668,1601.219970703125
2024-05-10,0.9344973564147949,2.9064083099365234,5.9883809089660645,4.830290794372559,16.327617645263672,8.78411865234375,3.7998039722442627,1.2261810302734375,1.27656090259552,7.2601094245910645,3.8252689838409424,21.349098205566406,3.454817533493042,4.330924034118652,7.40438985824585,2.50698184967041,3.265557289123535,123.76740264892578,2.421215295791626,5.648693084716797,2.9116322994232178,6.617863178253174,3.4156012535095215,0.4610428512096405,6.150678634643555,4.299800395965576,1.6612850427627563,11.50618839263916,19.225589752197266,18.084732055664062,3.277395725250244,16.656646728515625,4.779507160186768,2.5585880279541016,3.7888317108154297,4.267972946166992,0.7416660189628601,0.9424628019332886,0.6463975310325623,2.3837547302246094,1600.6700439453125
2024-05-13,0.9439846873283386,2.9349024295806885,6.014917373657227,4.839073657989502,16.495174407958984,8.78411865234375,3.7998039722442627,1.2261810302734375,1.285811424255371,7.306058883666992,3.8252689838409424,21.254884719848633,3.4639573097229004,4.530813217163086,7.40438985824585,2.50698184967041,3.255952835083008,123.76740264892578,2.504070520401001,5.648693084716797,2.9116322994232178,6.5987091064453125,3.4156012535095215,0.4514378011226654,6.140946388244629,4.309313774108887,1.6335971355438232,11.50618839263916,19.11808204650879,18.084732055664062,3.2864999771118164,16.711984634399414,4.731424331665039,2.5860016345977783,3.7611753940582275,4.254940986633301,0.7416660189628601,0.9573438167572021,0.6463975310325623,2.3837547302246094,1602.9100341796875
