Date,3182.KL
2024-04-24,4.359479904174805
2024-04-25,4.283331394195557
2024-04-26,4.273813247680664
2024-04-29,4.32140588760376
2024-04-30,4.302368640899658
2024-05-02,4.273813247680664
2024-05-03,4.283331394195557
2024-05-06,4.273813247680664
2024-05-07,4.273813247680664
2024-05-08,4.283331394195557
2024-05-09,4.302368640899658
2024-05-10,4.330924034118652
2024-05-13,4.530813217163086
2024-05-14,4.473701477050781
2024-05-15,4.48322057723999
2024-05-16,4.473701477050781
2024-05-17,4.502257347106934
2024-05-20,4.55936861038208
2024-05-21,4.511775970458984
2024-05-23,4.502257347106934
2024-05-24,4.521294593811035
2024-05-27,4.540331840515137
2024-05-28,4.606961727142334
2024-05-29,4.549849987030029
2024-05-30,4.616479396820068
2024-05-31,4.530813217163086
2024-06-04,4.55936861038208
2024-06-05,4.521294593811035
2024-06-06,4.48322057723999
2024-06-07,4.473701477050781
2024-06-10,4.45466423034668
2024-06-11,4.464183807373047
2024-06-12,4.473701477050781
2024-06-13,4.464183807373047
2024-06-14,4.464183807373047
2024-06-18,4.530813217163086
2024-06-19,4.473701477050781
2024-06-20,4.464183807373047
2024-06-21,4.540331840515137
2024-06-24,4.55936861038208
2024-06-25,4.511775970458984
2024-06-26,4.492738723754883
2024-06-27,4.445146560668945
2024-06-28,4.48322057723999
2024-07-01,4.45466423034668
2024-07-02,4.426109313964844
2024-07-03,4.445146560668945
2024-07-04,4.464183807373047
2024-07-05,4.4356279373168945
2024-07-09,4.349961280822754
2024-07-10,4.32140588760376
2024-07-11,4.311887741088867
2024-07-12,4.359479904174805
2024-07-15,4.473701477050781
2024-07-16,4.530813217163086
2024-07-17,4.578405380249023
2024-07-18,4.568887233734131
2024-07-19,4.597442150115967
2024-07-22,4.521294593811035
2024-07-23,4.530813217163086
2024-07-24,4.492738723754883
2024-07-25,4.445146560668945
2024-07-26,4.445146560668945
2024-07-29,4.473701477050781
2024-07-30,4.445146560668945
2024-07-31,4.502257347106934
2024-08-01,4.416591167449951
2024-08-02,4.302368640899658
2024-08-05,4.007294654846191
2024-08-06,4.092961311340332
2024-08-07,4.1405534744262695
2024-08-08,4.121516704559326
2024-08-09,4.188146591186523
2024-08-12,4.207183837890625
2024-08-13,4.16910982131958
2024-08-14,4.245257377624512
2024-08-15,4.216701984405518
2024-08-16,4.207183837890625
2024-08-19,4.188146591186523
2024-08-20,4.092961311340332
2024-08-21,4.159590721130371
2024-08-22,4.178627967834473
2024-08-23,4.159590721130371
2024-08-26,4.121516704559326
2024-08-27,4.111998558044434
2024-08-28,4.226220607757568
2024-08-29,4.102479934692383
2024-08-30,4.111998558044434
2024-09-02,4.0834431648254395
2024-09-03,4.092961311340332
2024-09-04,4.045368671417236
2024-09-05,4.064405918121338
2024-09-06,4.007294654846191
