Ticker,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio
1155.KL,0.0005532952265702959,0.008806101904112481,0.1394303970957146,0.13979253394904392,0.0628308907386031
1066.KL,0.0011585064675500945,0.01021004745373833,0.2919436298226238,0.16207947862055924,0.1134672951129053
5819.KL,0.0005492223008250855,0.0104267727194511,0.13840401980792155,0.16551988555596153,0.052674237331414506
5225.KL,0.0007781227328949161,0.010684244997154587,0.19608692868951885,0.16960713125374227,0.07282898633475221
1082.KL,0.0004970732797465582,0.010690548359490652,0.12526246649613265,0.1697071940287308,0.0464965185163094
6033.KL,0.00024152958080582155,0.010789869220848777,0.060865454363067034,0.17128386382365676,0.022384847847750078
1961.KL,0.00025793618591625614,0.010814440212970315,0.06499991885089655,0.17167391623137504,0.023851089916508115
1818.KL,0.0005748907722952823,0.011507407894413664,0.14487247461841113,0.18267443714159984,0.04995832055057041
1295.KL,0.0005492425642268514,0.011598613784851507,0.13840912618516654,0.18412228576681627,0.04735415579956593
5347.KL,0.0006446687957730189,0.011711381971726987,0.16245653653480077,0.18591242523644932,0.05504634699212655
