Ticker,Mean Return,Volatility,Annual Return,Annual Risk,Return/Risk Ratio
0138.KL,0.000377414307853682,0.027418940720725867,0.09510840557912786,0.43526219015917655,0.013764729706293725
0166.KL,-0.0005246674429032875,0.03077170493262458,-0.13221619561162845,0.4884856720151053,-0.01705032087276477
1023.KL,0.0006919465674818851,0.014339638551889465,0.17437053500543503,0.2276347049931234,0.04825411498190871
1066.KL,0.0011585064675500945,0.01021004745373833,0.2919436298226238,0.16207947862055924,0.1134672951129053
1082.KL,0.0004970732797465582,0.010690548359490652,0.12526246649613265,0.1697071940287308,0.0464965185163094
1155.KL,0.0005532952265702959,0.008806101904112481,0.1394303970957146,0.13979253394904392,0.0628308907386031
1295.KL,0.0005492425642268514,0.011598613784851507,0.13840912618516654,0.18412228576681627,0.04735415579956593
1562.KL,0.00018005702609091097,0.013400557939108486,0.04537437057490956,0.2127272624183597,0.013436532039119695
1619.KL,0.00016518386862400617,0.02761037819551535,0.04162633489324956,0.43830116585864354,0.005982673162037178
1818.KL,0.0005748907722952823,0.011507407894413664,0.14487247461841113,0.18267443714159984,0.04995832055057041
1961.KL,0.00025793618591625614,0.010814440212970315,0.06499991885089655,0.17167391623137504,0.023851089916508115
2445.KL,-3.2796439742286336e-05,0.012865065137901152,-0.008264702815056157,0.2042265777332,-0.0025492634037014173
2488.KL,0.0007179790467661929,0.014252483467401069,0.1809307197850806,0.2262511609188167,0.05037571511016921
3182.KL,-0.0007767972094925245,0.01718375736536718,-0.1957528967921162,0.27278369147061615,-0.045205317613370884
3816.KL,0.00030474749133699915,0.012060762243301161,0.07679636781692378,0.19145866510591417,0.025267680863725116
4197.KL,-4.148133421775333e-05,0.021817532136510737,-0.01045329622287384,0.34634258552620273,-0.0019012844330058777
4677.KL,-0.00047564503253947927,0.028064622185886713,-0.11986254819994878,0.44551206565705304,-0.01694820722648724
4707.KL,-0.00028711073229955057,0.016182475915622992,-0.07235190453948674,0.2568888412201842,-0.017742076910639257
4715.KL,-0.00017246916326525114,0.018595325234054425,-0.043462229142843284,0.29519163670603177,-0.009274866725611279
4863.KL,0.0005692223006130183,0.013306182842447582,0.14344401975448062,0.2112291042040251,0.042778782416634346
5168.KL,-0.0011287108528173363,0.036268175090525524,-0.28443513490996875,0.5757394307740682,-0.03112124748488362
5183.KL,0.00012645526571174184,0.03196595625011643,0.031866726959358944,0.5074438239490734,0.003955935643604631
5211.KL,0.0011016008697044446,0.018809585953524416,0.27760341916552006,0.298592920182716,0.0585659286932913
5216.KL,-1.2275498195741776e-05,0.035714842455616506,-0.0030934255453269276,0.5669555475084761,-0.00034370859149096804
5225.KL,0.0007781227328949161,0.010684244997154587,0.19608692868951885,0.16960713125374227,0.07282898633475221
5285.KL,0.0008109224480062236,0.013660378616007506,0.20435245689756837,0.21685178779764336,0.05936310191695334
5296.KL,0.0005537941518331146,0.02119938897600661,0.13955612626194489,0.3365298670622263,0.026123118570063355
5347.KL,0.0006446687957730189,0.011711381971726987,0.16245653653480077,0.18591242523644932,0.05504634699212655
5681.KL,0.0002698179585278126,0.01930504071282822,0.06799412554900879,0.3064580206567234,0.013976554752796678
5819.KL,0.0005492223008250855,0.0104267727194511,0.13840401980792155,0.16551988555596153,0.052674237331414506
6012.KL,0.00022594040834236564,0.015121708991898661,0.05693698290227614,0.24004968834511856,0.014941459888125837
6033.KL,0.00024152958080582155,0.010789869220848777,0.060865454363067034,0.17128386382365676,0.022384847847750078
6742.KL,1.0762172754268847e-05,0.026470569471916235,0.002712067534075749,0.42020726330969227,0.00040657125891027386
6888.KL,-6.616335508512185e-05,0.020337500952696274,-0.016673165481450706,0.3228478188562412,-0.0032532686901411132
6947.KL,-0.00042803487862843313,0.014433600385843084,-0.10786478941436514,0.22912630286536034,-0.02965544751039822
7084.KL,-9.888098272496368e-05,0.011841979081902675,-0.024918007646690846,0.18798559008926075,-0.008350038624546892
7106.KL,-0.0011845085784247744,0.03111070554895433,-0.2984961617630431,0.4938671399657421,-0.03807398635048273
7113.KL,0.00013623718353797585,0.03297913552590274,0.034331770251569915,0.5235275463326039,0.004131011361136842
7203.KL,-0.0006841004785317359,0.020957157857418092,-0.17239332058999746,0.332684567264709,-0.03264280792204791
7277.KL,0.0002043116462753722,0.02439293233374317,0.0514865348613938,0.3872257962162651,0.008375854263029473
